"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.625617260E-1,-5.971588135E0,-1.162463188E1,-5.718247890E0
7.650869870E-1,-5.161916733E0,-1.156481075E1,-5.586642742E0
7.676122990E-1,-4.395316124E0,-1.155763245E1,-5.581857204E0
7.701375600E-1,-3.686143398E0,-1.153370380E1,-5.600999832E0
7.726628720E-1,-2.941078186E0,-1.165813065E1,-5.512465000E0
7.751881330E-1,-2.368595362E0,-1.192164040E1,-5.292026520E0
7.777134450E-1,-1.918146491E0,-1.229282761E1,-4.642673969E0
7.802387050E-1,-1.465603828E0,-1.281266785E1,-3.727718592E0
7.827640180E-1,-1.149452209E0,-1.343809223E1,-2.690429926E0
7.852892780E-1,-9.768698215E-1,-1.401296806E1,-1.334596872E0
7.878145910E-1,-8.018946648E-1,-1.457587910E1,2.368894368E-1
7.903398510E-1,-5.886343718E-1,-1.511725521E1,1.743470430E0
7.928651640E-1,-2.892324328E-1,-1.563948917E1,3.051447153E0
7.953904240E-1,-6.640082598E-2,-1.616890144E1,4.012165546E0
7.979156850E-1,1.495514158E-2,-1.653290939E1,4.622933388E0
8.004409970E-1,-1.794616925E-3,-1.666720581E1,5.049454212E0
8.029662580E-1,-4.187439568E-3,-1.647069550E1,5.336891651E0
8.054915700E-1,3.409772366E-2,-1.592931938E1,5.391926765E0
8.080168300E-1,6.999006122E-2,-1.523211098E1,5.178666592E0
8.105421430E-1,-1.854437590E-2,-1.458784294E1,4.625326157E0
8.130674030E-1,-3.251247704E-1,-1.403450298E1,3.909274101E0
8.155927160E-1,-7.707880139E-1,-1.366810226E1,3.171387196E0
8.181180280E-1,-1.446461320E0,-1.363669586E1,2.366501570E0
8.206432890E-1,-2.387737989E0,-1.393161201E1,1.590329766E0
8.231685490E-1,-3.549752474E0,-1.468594933E1,6.993024349E-1
8.256938620E-1,-4.986941338E0,-1.589821243E1,-2.949153781E-1
8.282191740E-1,-6.589534283E0,-1.773320770E1,-1.686640859E0
8.307444350E-1,-8.304590225E0,-2.014547348E1,-4.264308929E0
