"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.283847002E0,-8.253578544E-1,-7.577250004E-1,-1.599740982E0
1.288891065E0,-8.954778910E-1,-8.908669949E-1,-1.447335243E0
1.293935127E0,-8.841382265E-1,-1.010709047E0,-1.057309151E0
1.298979190E0,-7.873878479E-1,-1.020029068E0,-6.917972565E-1
1.304023200E0,-6.639980078E-1,-9.121552706E-1,-3.661994934E-1
1.309103669E0,-4.413064122E-1,-7.089799047E-1,-1.303644180E-1
1.314147731E0,-2.880176902E-1,-5.310907960E-1,-4.942417145E-2
1.319191794E0,-2.191630304E-1,-3.438832760E-1,-5.246543884E-2
1.324235856E0,-1.404270530E-1,-1.366322041E-1,2.234706879E-1
1.329279919E0,7.795751095E-3,-4.637873173E-2,4.517049789E-1
1.334323929E0,1.416473985E-1,-9.908199310E-3,6.206102371E-1
1.339404346E0,1.703237295E-1,-9.741067886E-3,5.132951736E-1
1.344448408E0,1.801272035E-1,-6.907165051E-2,4.243412018E-1
1.349492471E0,1.582383513E-1,-9.495627880E-2,2.666683197E-1
1.354536533E0,4.123400450E-1,-1.985468864E-1,8.845138550E-2
1.359580596E0,4.225741029E-1,-3.718820810E-1,-8.507919312E-2
1.364624606E0,4.236572981E-2,-6.224418879E-1,-2.412118912E-1
1.369705075E0,7.672399282E-2,-8.487328291E-1,-1.356210709E-1
1.374749137E0,-1.242588162E-1,-8.677886724E-1,3.723144531E-2
1.379793200E0,-7.302039862E-2,-6.599456072E-1,1.959667206E-1
1.384837262E0,-1.272681355E-1,-6.562262774E-1,4.896516800E-1
1.389881325E0,-4.297281206E-1,-8.687897325E-1,6.141777039E-1
1.394925335E0,-8.691970110E-1,-9.791238904E-1,8.986434937E-1
1.400005752E0,-6.455110312E-1,-8.997816443E-1,1.300294876E0
1.405049815E0,3.832721710E-2,-7.064753771E-1,1.311676979E0
1.410093877E0,4.407422543E-1,-4.166882038E-1,1.088051796E0
1.415137940E0,7.073700428E-1,-1.615006924E-1,7.036027908E-1
1.420182002E0,8.518395424E-1,3.217061758E-1,5.120849609E-2
1.425226012E0,8.171153069E-1,6.128463745E-1,-2.220249176E-2
1.430306481E0,8.126113415E-1,8.775881529E-1,-5.132598877E-1
1.435350544E0,6.003034115E-2,1.004180908E0,-7.551851273E-1
1.440394606E0,-5.195806026E-1,7.488298416E-1,-8.148555756E-1
1.445438669E0,-3.339599967E-1,4.110168219E-1,-4.615411758E-1
1.450482731E0,-2.099055052E-1,2.529948950E-1,-2.351045609E-1
1.455526742E0,-2.456715107E-1,2.651979923E-1,5.000209808E-2
1.460607210E0,-3.716998696E-1,8.306884766E-2,2.586994171E-1
1.465651273E0,-5.036824346E-1,4.700231552E-2,2.671279907E-1
1.470695335E0,-2.761251926E-1,-1.389300823E-2,1.929903030E-1
1.475739398E0,-1.910363436E-1,-5.228686333E-2,4.266071320E-2
1.480783460E0,-2.067039013E-1,-1.365673542E-1,-1.954984665E-1
1.485827471E0,-1.752653122E-1,-1.680668592E-1,-5.595893860E-1
1.490947315E0,-3.068273664E-1,-2.224799395E-1,-5.945749283E-1
1.495991377E0,-2.682159543E-1,-4.179127216E-1,-3.789253235E-1
1.501035387E0,-2.019690275E-1,-3.439712524E-1,-2.473487854E-1
1.506079450E0,-3.306183815E-1,-3.122808933E-1,-5.350379944E-1
1.511141742E0,-2.458516359E-1,-2.783386707E-1,-6.499433517E-1
1.516185752E0,-1.969935894E-1,-3.824923038E-1,-7.203903198E-1
1.521229815E0,-1.900063753E-1,-4.088104963E-1,-6.665306091E-1
1.526273877E0,-2.801496387E-1,-4.155610800E-1,-7.048139572E-1
1.531317940E0,-2.068468332E-1,-3.610041142E-1,-5.985755920E-1
1.536358981E0,-1.492919326E-1,-4.111316204E-1,-5.057992935E-1
1.541403044E0,-2.361224294E-1,-3.326061964E-1,-5.314178467E-1
1.546447106E0,-2.089613676E-1,-2.549973726E-1,-5.582151413E-1
1.551491169E0,-2.714562416E-1,-2.864212990E-1,-3.581600189E-1
1.556535231E0,-7.276976109E-2,-3.606905937E-1,-2.101669312E-1
1.561579242E0,1.013407707E-1,-5.909134746E-1,-7.220554352E-2
1.566659658E0,-1.357004642E-1,-6.375862360E-1,-4.689121246E-2
1.571703721E0,2.006769180E-3,-5.553719997E-1,9.381294250E-3
1.576747783E0,1.464704275E-1,-4.710155725E-1,8.338069916E-2
1.581791846E0,1.495329142E-1,-5.112982988E-1,1.475429535E-1
1.586835908E0,1.354241371E-1,-6.735769510E-1,2.055540085E-1
1.591879919E0,3.224598169E-1,-6.721779704E-1,2.072677612E-1
1.596960387E0,2.186706066E-1,-7.620900869E-1,2.734804153E-1
1.602004450E0,3.170418739E-1,-7.670305967E-1,2.596340179E-1
1.607048512E0,3.004540205E-1,-8.163056374E-1,2.614679337E-1
1.612092575E0,4.656133652E-1,-8.656073809E-1,1.022758484E-1
1.617136637E0,5.409787893E-1,-9.890111685E-1,1.669931412E-1
1.622180648E0,3.067935705E-1,-9.290179610E-1,3.955430984E-1
1.627300544E0,5.976978540E-1,-9.603627920E-1,4.697885513E-1
1.632344606E0,8.279675245E-1,-7.483111024E-1,7.376928329E-1
1.637388617E0,8.745429516E-1,-2.910614014E-1,9.335889816E-1
