"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.721972887E0,-1.977619934E1,2.622999907E0,8.554640198E1
1.731972887E0,-1.920279884E1,2.952399969E0,8.569279480E1
1.741972887E0,-1.850740051E1,3.342799902E0,8.572940063E1
1.751972887E0,-1.782419968E1,3.684399843E0,8.569279480E1
1.761972887E0,-1.723859978E1,4.013800144E0,8.572940063E1
1.771972887E0,-1.657979965E1,4.404200077E0,8.583919525E1
1.781972887E0,-1.607959938E1,4.745800018E0,8.576599884E1
1.791972887E0,-1.549399948E1,5.075200081E0,8.580259705E1
1.801972887E0,-1.498159981E1,5.380199909E0,8.570500183E1
1.811972887E0,-1.449359989E1,5.672999859E0,8.544879913E1
1.821972887E0,-1.415199947E1,5.941400051E0,8.537559509E1
1.831972887E0,-1.374940014E1,6.221999645E0,8.544879913E1
1.841972887E0,-1.343219948E1,6.441599846E0,8.548539734E1
1.851972887E0,-1.310279942E1,6.612400055E0,8.543659973E1
1.861972887E0,-1.289540005E1,6.770999908E0,8.565619659E1
1.871972887E0,-1.283440018E1,6.953999996E0,8.581479645E1
1.881972887E0,-1.271239948E1,7.075999737E0,8.601000214E1
1.891972887E0,-1.263920021E1,7.137000084E0,8.636380005E1
1.901972887E0,-1.254160023E1,7.161399841E0,8.657119751E1
1.911972887E0,-1.252939987E1,7.124799728E0,8.679080200E1
1.921972887E0,-1.239519978E1,7.137000084E0,8.698600006E1
1.931972887E0,-1.241959953E1,7.124799728E0,8.716899872E1
1.941972887E0,-1.230980015E1,7.075999737E0,8.730319977E1
1.951972887E0,-1.213899994E1,6.941799641E0,8.742520142E1
1.961972887E0,-1.221220016E1,6.856400013E0,8.754719543E1
1.971972887E0,-1.218779945E1,6.783199787E0,8.780339813E1
1.981972887E0,-1.212679958E1,6.661200047E0,8.802299500E1
1.991972887E0,-1.204139996E1,6.612400055E0,8.813279724E1
2.001972887E0,-1.206579971E1,6.490399837E0,8.825479889E1
2.011972887E0,-1.201700020E1,6.380599976E0,8.843779755E1
2.021972887E0,-1.215119934E1,6.295199871E0,8.858419800E1
2.031972887E0,-1.234639931E1,6.185400009E0,8.877939606E1
2.041972887E0,-1.222439957E1,6.063399792E0,8.882820129E1
2.051972887E0,-1.230980015E1,5.977999687E0,8.886479950E1
2.061972887E0,-1.244399929E1,5.892600060E0,8.887699890E1
2.071972887E0,-1.256599998E1,5.807199955E0,8.907219696E1
2.081972887E0,-1.261479950E1,5.770599842E0,8.920639801E1
2.091972887E0,-1.271239948E1,5.733999729E0,8.934059906E1
2.101972887E0,-1.267579937E1,5.685199738E0,8.945040131E1
2.111972887E0,-1.265139961E1,5.697400093E0,8.960900116E1
2.121972887E0,-1.276119995E1,5.697400093E0,8.988959503E1
2.131972887E0,-1.277339935E1,5.746200085E0,8.995059967E1
2.141972887E0,-1.282219982E1,5.758399963E0,9.020679474E1
2.151972887E0,-1.287099934E1,5.807199955E0,9.024340057E1
2.161972887E0,-1.298079967E1,5.868199825E0,9.030439758E1
2.171972887E0,-1.313939953E1,5.953599930E0,9.021900177E1
2.181972887E0,-1.332240009E1,6.087800026E0,9.024340057E1
2.191972887E0,-1.349319935E1,6.234200001E0,9.030439758E1
2.201972887E0,-1.373719978E1,6.404999733E0,9.023120117E1
2.211972887E0,-1.385919952E1,6.526999950E0,9.027999878E1
2.221972887E0,-1.399339962E1,6.722199917E0,9.032879639E1
2.231972887E0,-1.416419983E1,6.892999649E0,9.034099579E1
2.241972887E0,-1.429839993E1,7.027199745E0,9.038980103E1
2.251972887E0,-1.440819931E1,7.185800076E0,9.059719849E1
2.261972887E0,-1.457899952E1,7.283400059E0,9.069480133E1
2.271972887E0,-1.470099926E1,7.307799816E0,9.075579834E1
