"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.526291320E-1,-1.384846121E-1,-7.813463211E0,-5.368895531E-1
9.551491840E-1,-1.241276711E-1,-7.710272789E0,-5.321039557E-1
9.576750170E-1,-1.887338907E-1,-7.576274872E0,-5.679962635E-1
9.602008500E-1,-2.294118702E-1,-7.473084450E0,-5.919244885E-1
9.627266320E-1,-3.299104273E-1,-7.427620411E0,-6.206383705E-1
9.652524650E-1,-5.000999570E-1,-7.324729443E0,-7.429714203E-1
9.677782980E-1,-6.439684033E-1,-7.243373394E0,-8.554341197E-1
9.703040800E-1,-8.162516356E-1,-7.183253765E0,-9.275178909E-1
9.728299130E-1,-9.649057388E-1,-7.209574699E0,-1.099801064E0
9.753557460E-1,-1.175773263E0,-7.202396393E0,-1.154836059E0
9.778815270E-1,-1.364806175E0,-7.233801842E0,-1.277169108E0
9.804073610E-1,-1.628315806E0,-7.312765121E0,-1.415952802E0
9.829331940E-1,-1.858325839E0,-7.355835915E0,-1.588535190E0
9.854531940E-1,-2.033301115E0,-7.415656567E0,-1.732403636E0
9.879790270E-1,-2.071586132E0,-7.535596848E0,-1.871187329E0
9.905048610E-1,-1.985444546E0,-7.717451096E0,-1.959721804E0
9.930306420E-1,-1.954337835E0,-7.846962929E0,-1.995913148E0
9.955564750E-1,-1.910967946E0,-8.016853333E0,-2.050948143E0
