"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.295795225E0,-2.280301094E0,9.942064285E-1,-4.249343872E0
1.300846111E0,-2.145519733E0,1.283088684E0,-4.029526234E0
1.305896996E0,-1.784768462E0,1.372572899E0,-4.127943516E0
1.310947830E0,-1.179784775E0,1.166075706E0,-4.250688553E0
1.315997517E0,-2.888985872E-1,5.830574036E-1,-4.567672729E0
1.321048402E0,8.992851973E-1,-4.409446716E-1,-4.742526531E0
1.326099236E0,2.111630440E0,-1.955033302E0,-4.455053806E0
1.331150121E0,3.454763889E0,-3.589729309E0,-3.650481224E0
1.336201007E0,4.886630535E0,-5.208806992E0,-2.453126192E0
1.341251840E0,6.165263176E0,-6.320713043E0,-1.173688650E0
1.346301527E0,7.224272728E0,-6.905856133E0,6.296205521E-2
1.351352413E0,7.667856216E0,-7.137681961E0,1.162939548E0
1.356403246E0,7.618626118E0,-7.217116356E0,1.963243008E0
1.361454132E0,7.297258377E0,-7.007270813E0,2.589866638E0
1.366505017E0,6.956895828E0,-6.319710732E0,2.867230892E0
1.371555850E0,6.649320126E0,-5.351267815E0,3.002650023E0
1.376605538E0,6.250146866E0,-4.390169144E0,3.057005882E0
1.381656423E0,5.765752792E0,-3.545747757E0,3.246739864E0
1.386707257E0,5.557181358E0,-2.994563103E0,3.893546581E0
1.391758142E0,4.965384483E0,-2.656080246E0,4.396922588E0
1.396809027E0,3.870567322E0,-2.257464409E0,4.635805130E0
1.401859861E0,2.601042509E0,-1.684557915E0,4.683118820E0
1.406909600E0,1.477770448E0,-1.249388695E0,5.072860718E0
1.411960486E0,4.346632957E-1,-8.578567505E-1,5.628147125E0
1.417011319E0,-5.685088634E-1,-4.122772217E-1,6.230901718E0
1.422062205E0,-1.403908730E0,-7.145881653E-3,6.705809593E0
1.427113090E0,-1.910089254E0,3.600015640E-1,7.254421234E0
1.432163923E0,-2.239378214E0,6.287307739E-1,7.655761719E0
1.437213611E0,-2.398696899E0,8.771753311E-1,7.762837410E0
1.442264496E0,-2.463814735E0,1.045492172E0,7.658921242E0
1.447315330E0,-2.338550091E0,1.225397587E0,7.248211861E0
1.452366215E0,-2.462873220E0,1.394242287E0,6.534057140E0
1.457417100E0,-2.666330814E0,1.628634453E0,5.476603508E0
1.462467934E0,-2.876950026E0,1.876688004E0,4.140533924E0
1.467517621E0,-2.905361652E0,1.922257423E0,2.734051943E0
1.472568507E0,-2.823988676E0,1.946011543E0,1.275667429E0
1.477619340E0,-2.438271761E0,1.910953522E0,-1.136946678E-1
1.482670225E0,-1.917966127E0,1.809861183E0,-1.583783627E0
1.487721111E0,-1.210950613E0,1.584042549E0,-2.778434753E0
1.492771944E0,-3.465545177E-1,1.220551491E0,-3.950064659E0
1.497821632E0,5.116009712E-1,7.860798836E-1,-4.615232944E0
1.502872517E0,1.086129904E0,4.903717041E-1,-3.938222408E0
1.507923350E0,1.577631235E0,1.920638084E-1,-2.111380100E0
1.512974236E0,1.790999413E0,4.451847076E-2,-5.749416351E-2
1.518025121E0,1.769227266E0,7.910633087E-2,1.705449581E0
1.523075955E0,1.724315047E0,1.928868294E-1,3.111964703E0
1.528125642E0,1.706406236E0,2.715587616E-1,4.285693169E0
1.533176527E0,1.533399105E0,4.872856140E-1,5.175094128E0
1.538227361E0,1.191729307E0,9.516181946E-1,5.668408394E0
1.543278246E0,9.008569717E-1,1.474715233E0,6.057118416E0
1.548329132E0,7.243649960E-1,1.890675545E0,6.120096207E0
1.553379965E0,5.194666386E-1,2.221292496E0,5.786234379E0
1.558429652E0,4.550731182E-1,2.319200516E0,5.245367527E0
1.563480538E0,4.496185780E-1,2.277779102E0,4.527981758E0
1.568531371E0,5.794243813E-1,2.141903877E0,4.004038811E0
1.573582257E0,7.455890179E-1,2.038394451E0,3.701485634E0
1.578633142E0,7.771596909E-1,2.010888100E0,3.524306297E0
1.583683975E0,9.974355698E-1,1.864470482E0,3.526530743E0
1.588733663E0,1.138015509E0,1.741012096E0,3.718630791E0
1.593784548E0,1.327621460E0,1.742822170E0,4.049965858E0
1.598835382E0,1.440506697E0,1.713535786E0,4.285339355E0
1.603886267E0,1.519469738E0,1.689579964E0,4.566428661E0
1.608937152E0,1.731103897E0,1.788166046E0,4.816370964E0
1.613987986E0,1.891241550E0,1.923281431E0,4.940835476E0
1.619037621E0,1.972132206E0,2.096101284E0,4.999221802E0
1.624088507E0,2.096439362E0,2.442950249E0,4.860771179E0
1.629139340E0,2.176032066E0,2.695822477E0,4.868431091E0
1.634190225E0,2.233206749E0,2.915883303E0,5.019995689E0
1.639241111E0,2.200906277E0,3.076435566E0,5.016143322E0
1.644291944E0,2.221822023E0,3.281917810E0,5.041845322E0
1.649341684E0,2.193996429E0,3.459965706E0,4.972841263E0
1.654392413E0,1.937858105E0,3.779766560E0,4.576501846E0
1.659443090E0,2.139992952E0,3.783947945E0,4.349780560E0
1.664493819E0,2.261996746E0,3.759402990E0,3.974992514E0
1.669544548E0,2.254573345E0,3.734932899E0,3.381540060E0
1.674595225E0,2.208441973E0,3.594848633E0,2.748341084E0
1.679645694E0,2.108243465E0,3.323044538E0,2.105165005E0
1.684696423E0,1.962285519E0,3.013191700E0,1.577699184E0
1.689747100E0,1.810630798E0,2.757139683E0,1.195367813E0
1.694797830E0,1.567556381E0,2.435174465E0,1.063155174E0
1.699848559E0,1.501093864E0,2.403039932E0,8.664245605E-1
1.704899236E0,1.442053795E0,2.432905197E0,6.323628426E-1
1.709949705E0,1.325614691E0,2.558368683E0,3.856611252E-2
1.715000434E0,1.265506268E0,2.709076166E0,-6.196904182E-1
1.720051111E0,1.108014345E0,2.858841419E0,-1.417398930E0
