"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.159257083E0,2.070036344E-2,2.248893678E-2,-1.508191414E-2
3.169203083E0,2.671271749E-2,3.515786305E-2,-1.515728235E-2
3.179148083E0,3.094055504E-2,3.877378255E-2,-1.893173158E-2
3.189093083E0,3.503862768E-2,4.694382846E-2,-1.820735261E-2
3.199039083E0,3.891735524E-2,5.266407505E-2,-1.852878556E-2
3.208984083E0,4.168571159E-2,5.811263621E-2,-1.673940942E-2
3.218929083E0,5.082302168E-2,5.953754112E-2,-1.503752638E-2
3.228875083E0,4.411398619E-2,5.896043405E-2,-1.388863847E-2
3.238820083E0,5.771753937E-2,4.287478700E-2,-1.077695191E-2
3.248765083E0,4.965135455E-2,5.719087645E-2,-2.077206224E-2
3.258711083E0,4.516081512E-2,6.020519137E-2,-1.542240568E-2
3.268656083E0,4.498451576E-2,5.269161612E-2,-1.786026359E-2
3.278601083E0,5.045075342E-2,5.042896047E-2,-1.599158347E-2
3.288547083E0,5.023929849E-2,5.141299963E-2,-1.774740592E-2
3.298492083E0,5.053295568E-2,5.019696057E-2,-1.853000373E-2
3.308437083E0,5.289624631E-2,5.647403002E-2,-1.922561973E-2
3.318383083E0,5.661599711E-2,5.565887690E-2,-1.646033302E-2
3.328328083E0,5.705595389E-2,5.838728324E-2,-1.493647322E-2
3.338273083E0,6.021333858E-2,5.973974988E-2,-1.387486793E-2
3.348219083E0,5.472322926E-2,6.078157574E-2,-1.631112769E-2
3.358164083E0,5.756331980E-2,6.125717983E-2,-1.524098217E-2
3.368109083E0,5.478218198E-2,5.989470705E-2,-1.352430880E-2
3.378054083E0,4.889791459E-2,6.002965569E-2,-1.406352222E-2
3.388000083E0,4.390954599E-2,6.169839203E-2,-1.556847431E-2
3.397945083E0,3.952202201E-2,5.867319182E-2,-1.370589621E-2
3.407890083E0,3.864024952E-2,6.346927583E-2,-9.080785327E-3
3.417836083E0,4.027849063E-2,5.312019587E-2,-8.881674148E-3
3.427781083E0,3.092946112E-2,6.670019031E-2,-1.382237114E-2
3.437726083E0,2.287067659E-2,7.185332477E-2,-1.048661955E-2
