"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.115104604E2,-7.603904724E0,4.800837326E1,6.232318878E0
2.115204054E2,-7.639739990E0,4.802867508E1,6.057102203E0
2.115303514E2,-7.543075562E0,4.797617340E1,6.077468872E0
2.115402964E2,-7.462570190E0,4.799764633E1,5.806205750E0
2.115502424E2,-7.461128235E0,4.789535904E1,5.691692352E0
2.115601874E2,-7.502403259E0,4.783518219E1,5.691005707E0
2.115701334E2,-7.390769958E0,4.782589340E1,5.760620117E0
2.115800794E2,-7.388343811E0,4.790071869E1,5.822635651E0
2.115900244E2,-7.378784180E0,4.795464325E1,5.890933990E0
2.115999704E2,-7.385215759E0,4.797958755E1,5.875015259E0
2.116099154E2,-7.334014893E0,4.799072266E1,5.818164825E0
2.116198614E2,-7.303634644E0,4.802867126E1,5.716850281E0
2.116298064E2,-7.283142090E0,4.815973282E1,5.743022919E0
2.116397524E2,-7.340507507E0,4.819711304E1,5.896034241E0
2.116496974E2,-7.223495483E0,4.822642899E1,6.020961761E0
2.116596434E2,-7.261985779E0,4.833115768E1,5.942260742E0
2.116695894E2,-7.421257019E0,4.831077576E1,5.873096466E0
2.116795344E2,-7.318595886E0,4.822554779E1,5.900886536E0
2.116894804E2,-7.378669739E0,4.808451462E1,5.884639740E0
2.116994254E2,-7.376884460E0,4.802597046E1,5.745582581E0
2.117093714E2,-7.464721680E0,4.799897003E1,5.818450928E0
2.117193164E2,-7.577896118E0,4.804275513E1,5.727848053E0
2.117292624E2,-7.542068481E0,4.801488113E1,5.770885468E0
2.117392084E2,-7.455680847E0,4.797489929E1,5.772491455E0
2.117491534E2,-7.393478394E0,4.801542664E1,5.715213776E0
2.117590994E2,-7.353034973E0,4.799750900E1,5.730590820E0
2.117690444E2,-7.368019104E0,4.800869370E1,5.695976257E0
2.117789904E2,-7.271621704E0,4.798480606E1,5.754764557E0
2.117889354E2,-7.086585999E0,4.799788666E1,5.720726013E0
2.117988814E2,-7.174804688E0,4.797373962E1,5.697372437E0
2.118088274E2,-7.180198669E0,4.797995758E1,5.653251648E0
2.118187724E2,-7.028472900E0,4.799826431E1,5.767230988E0
2.118287184E2,-7.079856873E0,4.808323669E1,5.736663818E0
2.118386634E2,-7.102172852E0,4.807361603E1,5.700946808E0
2.118486094E2,-7.210357666E0,4.830353928E1,5.679920197E0
2.118585544E2,-7.046669006E0,4.819815445E1,5.868274689E0
2.118685004E2,-6.934371948E0,4.809411621E1,5.987071991E0
2.118784454E2,-6.913436890E0,4.805942917E1,5.982360840E0
2.118883914E2,-7.014205933E0,4.809678268E1,5.873069763E0
2.118983374E2,-7.100028992E0,4.800140762E1,5.933406830E0
2.119082824E2,-7.052833557E0,4.816334915E1,5.880443573E0
2.119182284E2,-7.083412170E0,4.806314468E1,5.993057251E0
2.119281734E2,-7.033782959E0,4.801702881E1,6.008720398E0
2.119381194E2,-6.925994873E0,4.808286667E1,5.894805908E0
2.119480644E2,-6.790054321E0,4.813868713E1,6.040576935E0
2.119580104E2,-6.759239197E0,4.830476761E1,6.169120789E0
2.119679564E2,-6.558959961E0,4.837030029E1,6.066242218E0
2.119779014E2,-6.441436768E0,4.834552765E1,5.971183777E0
2.119878474E2,-6.430366516E0,4.835686874E1,5.803607941E0
2.119977924E2,-6.503128052E0,4.839106750E1,5.924465179E0
2.120077384E2,-6.593742371E0,4.834173203E1,5.972324371E0
2.120176834E2,-6.593742371E0,4.834173203E1,5.972324371E0
2.120276294E2,-6.727294922E0,4.835691452E1,5.887886047E0
2.120375754E2,-6.867584229E0,4.833834457E1,5.902954102E0
2.120475204E2,-6.734039307E0,4.831552887E1,5.917800903E0
2.120574664E2,-6.647750854E0,4.829937363E1,6.188220978E0
2.120674114E2,-6.719139099E0,4.833274078E1,6.217769623E0
2.120773574E2,-6.714469910E0,4.828733063E1,6.254711151E0
2.120873024E2,-6.618293762E0,4.819736099E1,6.155475616E0
2.120972484E2,-6.629173279E0,4.808572388E1,5.943485260E0
2.121071944E2,-6.603088379E0,4.807753372E1,5.943656921E0
2.121171394E2,-6.470458984E0,4.818778610E1,5.940856934E0
2.121270854E2,-6.464118958E0,4.819392014E1,5.974140167E0
2.121370304E2,-6.437820435E0,4.830304337E1,5.971431732E0
2.121469764E2,-6.409866333E0,4.830675888E1,5.946849823E0
2.121569214E2,-6.533607483E0,4.830992126E1,5.970737457E0
2.121668674E2,-6.564857483E0,4.832279587E1,6.028644562E0
2.121768124E2,-6.600875854E0,4.826295090E1,6.103439331E0
2.121867584E2,-6.537673950E0,4.832390213E1,6.012531281E0
2.121967044E2,-6.572311401E0,4.834405518E1,5.796775818E0
2.122066494E2,-6.603218079E0,4.833622360E1,5.726657867E0
2.122165954E2,-6.637420654E0,4.841184616E1,5.815990448E0
2.122265404E2,-6.559707642E0,4.832727814E1,5.894184113E0
2.122364864E2,-6.545059204E0,4.835919571E1,5.873016357E0
2.122464314E2,-6.621536255E0,4.838134766E1,5.945049286E0
2.122563774E2,-6.650886536E0,4.828165817E1,5.956897736E0
2.122663234E2,-6.574066162E0,4.810540390E1,5.935489655E0
2.122762685E2,-6.603408813E0,4.807182312E1,5.907192230E0
2.122862145E2,-6.568305969E0,4.818734360E1,5.901519775E0
2.122961595E2,-6.686683655E0,4.833262253E1,5.892612457E0
2.123061055E2,-6.729537964E0,4.833552170E1,5.915218353E0
2.123160505E2,-6.697021484E0,4.823387909E1,5.940402985E0
2.123259965E2,-6.774894714E0,4.810252762E1,5.773067474E0
2.123359425E2,-6.630996704E0,4.808172607E1,5.928817749E0
2.123458875E2,-6.685600281E0,4.813061142E1,5.797214508E0
2.123558335E2,-6.675682068E0,4.812558746E1,5.791744232E0
2.123657785E2,-6.653717041E0,4.824085999E1,5.821754456E0
2.123757245E2,-6.738677979E0,4.816367722E1,5.765060425E0
2.123856695E2,-6.766746521E0,4.810476303E1,5.664611816E0
2.123956155E2,-6.640419006E0,4.803604507E1,5.621986389E0
2.124055605E2,-6.574775696E0,4.807064056E1,5.753868103E0
2.124155065E2,-6.633476257E0,4.801802444E1,5.855587006E0
2.124254525E2,-6.618057251E0,4.800613022E1,5.952972412E0
2.124353975E2,-6.698089600E0,4.814112473E1,5.910881042E0
2.124453435E2,-6.717697144E0,4.827156830E1,5.769874573E0
2.124552885E2,-6.739089966E0,4.823340607E1,5.686035156E0
2.124652345E2,-6.696319580E0,4.821055984E1,5.603477478E0
2.124751795E2,-6.695755005E0,4.830651474E1,5.728458405E0
2.124851255E2,-6.631286621E0,4.821756744E1,5.908645630E0
2.124950715E2,-6.765464783E0,4.814900589E1,5.813339233E0
2.125050165E2,-6.750885010E0,4.811355209E1,5.787075043E0
2.125149625E2,-6.843635559E0,4.807275772E1,5.674327850E0
2.125249075E2,-6.867218018E0,4.808098984E1,5.694187164E0
2.125348535E2,-6.792701721E0,4.802513123E1,5.865097046E0
2.125447985E2,-6.834350586E0,4.807688904E1,5.785934448E0
2.125547445E2,-6.907127380E0,4.810144424E1,5.821475983E0
2.125646905E2,-6.780769348E0,4.801976395E1,5.778289795E0
2.125746355E2,-6.716072083E0,4.817314529E1,5.610370636E0
2.125845815E2,-6.630813599E0,4.828266907E1,5.487529755E0
2.125945265E2,-6.653968811E0,4.828585052E1,5.462795258E0
