"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.416190834E0,-2.647399902E0,3.420879745E1,-5.245999813E0
5.426190834E0,-2.452199936E0,3.414780045E1,-5.477799892E0
5.436190834E0,-2.305799961E0,3.397700119E1,-5.770599842E0
5.446190834E0,-2.147199869E0,3.391600037E1,-6.160999775E0
5.456190834E0,-2.049599886E0,3.374520111E1,-6.673399925E0
5.466190834E0,-2.037400007E0,3.362319946E1,-7.088200092E0
5.476190834E0,-2.086199999E0,3.354999924E1,-7.576200008E0
5.486190834E0,-2.244799852E0,3.339139938E1,-8.161799431E0
5.496190834E0,-2.440000057E0,3.325719833E1,-8.881599426E0
5.506190834E0,-2.757200003E0,3.308639908E1,-9.589200020E0
5.516190834E0,-3.098799944E0,3.297660065E1,-1.030900002E1
5.526190834E0,8.112999916E0,4.246820068E1,-1.230980015E1
5.536190834E0,7.722599983E0,4.232180023E1,-1.296859932E1
5.546190834E0,7.368799686E0,4.211439896E1,-1.389579964E1
5.556190834E0,7.124799728E0,4.187039948E1,-1.476200008E1
5.566190834E0,6.795399666E0,4.161420059E1,-1.551839924E1
5.576190834E0,6.563600063E0,4.135799789E1,-1.614060020E1
5.586190834E0,6.307399750E0,4.111399841E1,-1.681159973E1
5.596190834E0,6.124399662E0,4.084560013E1,-1.739719963E1
5.606190834E0,5.941400051E0,4.060160065E1,-1.795839882E1
5.616190834E0,5.855999947E0,4.035759735E1,-1.856839943E1
5.626190834E0,5.770599842E0,4.015019989E1,-1.900759888E1
5.636190834E0,5.587599754E0,3.993059921E1,-1.949559975E1
5.646190834E0,5.526599884E0,3.971099854E1,-1.989819908E1
5.656190834E0,5.428999901E0,3.946699905E1,-2.044719887E1
5.666190834E0,5.368000031E0,3.924739838E1,-2.084980011E1
5.676190834E0,5.282599926E0,3.904000092E1,-2.124020004E1
5.686190834E0,5.124000072E0,3.883259964E1,-2.170380020E1
5.696190834E0,4.904399872E0,3.860079956E1,-2.197220039E1
5.706190834E0,4.733600140E0,3.829579926E1,-2.246019936E1
5.716190834E0,4.562799931E0,3.802740097E1,-2.275300026E1
5.726190834E0,4.379799843E0,3.777119827E1,-2.318000031E1
5.736190834E0,4.160200119E0,3.756380081E1,-2.341180038E1
5.746190834E0,3.928400040E0,3.733200073E1,-2.370459938E1
5.756190834E0,3.696599960E0,3.707579803E1,-2.410719872E1
5.766190834E0,3.586799860E0,3.683179855E1,-2.436339951E1
5.776190834E0,3.391599894E0,3.656340027E1,-2.474160004E1
5.786190834E0,3.233000040E0,3.636819839E1,-2.498559952E1
5.796190834E0,3.135400057E0,3.616080093E1,-2.531499863E1
5.806190834E0,3.013399839E0,3.595339966E1,-2.551019859E1
5.816190834E0,2.879199982E0,3.575819778E1,-2.580299950E1
5.826190834E0,2.854799986E0,3.558739853E1,-2.604699898E1
