"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.463348238E1,-7.292175293E-1,4.669361115E1,1.218684006E1
5.464342738E1,-6.482772827E-1,4.662651443E1,1.259841156E1
5.465337238E1,-5.520935059E-1,4.659898376E1,1.279760361E1
5.466331838E1,-5.193328857E-1,4.650613022E1,1.292572021E1
5.467326338E1,-5.082626343E-1,4.664783478E1,1.288879395E1
5.468320838E1,-5.649108887E-1,4.685789490E1,1.283421707E1
5.469315338E1,-8.013381958E-1,4.691506195E1,1.263622284E1
5.470309838E1,-1.207908630E0,4.687157822E1,1.245707703E1
5.471304337E1,-1.759391785E0,4.685146332E1,1.234571457E1
5.472298938E1,-2.337669373E0,4.683771515E1,1.233189011E1
5.473293438E1,-2.850898743E0,4.671338654E1,1.250651932E1
5.474287938E1,-3.282760620E0,4.658441925E1,1.261924744E1
5.475282437E1,-3.679084778E0,4.654041290E1,1.310682297E1
5.476276937E1,-4.033676147E0,4.624780273E1,1.373575211E1
5.477271437E1,-4.230216980E0,4.609350586E1,1.451338577E1
5.478265937E1,-4.328628540E0,4.585297012E1,1.538694763E1
5.479260537E1,-4.239151001E0,4.553143692E1,1.614653015E1
5.480255037E1,-4.064224243E0,4.524668121E1,1.684178162E1
5.481249537E1,-3.702980042E0,4.495432281E1,1.744539642E1
5.482244037E1,-3.407241821E0,4.480087280E1,1.800877762E1
5.483238537E1,-3.150146484E0,4.460612106E1,1.836930084E1
5.484233037E1,-2.858505249E0,4.450893784E1,1.868275070E1
5.485227637E1,-2.767257690E0,4.432496262E1,1.906546021E1
5.486222137E1,-2.714447021E0,4.419157028E1,1.933659363E1
5.487216637E1,-2.805068970E0,4.418119049E1,1.948113632E1
5.488211137E1,-2.937469482E0,4.418214417E1,1.938890076E1
5.489205638E1,-3.021087646E0,4.438605499E1,1.910839462E1
5.490200138E1,-3.084030151E0,4.457630539E1,1.883778000E1
5.491194638E1,-3.358612061E0,4.469041443E1,1.860662842E1
5.492189237E1,-3.749565125E0,4.486959076E1,1.830433273E1
5.493183738E1,-4.277214050E0,4.484820175E1,1.784147644E1
5.494178238E1,-4.796440125E0,4.490787125E1,1.738339996E1
5.495172738E1,-5.414520264E0,4.492321777E1,1.710904694E1
5.496167238E1,-6.244964600E0,4.492900467E1,1.683268356E1
5.497161738E1,-7.054679871E0,4.507110596E1,1.653198624E1
5.498156238E1,-8.076080322E0,4.495407486E1,1.604465103E1
5.499150838E1,-8.879379272E0,4.484731293E1,1.591094208E1
5.500145338E1,-9.508193970E0,4.486328888E1,1.567635345E1
5.501139838E1,-9.951637268E0,4.487246323E1,1.563320160E1
5.502134338E1,-1.030151367E1,4.467658997E1,1.609425735E1
5.503128838E1,-1.050952911E1,4.443152618E1,1.674463272E1
5.504123337E1,-1.075931549E1,4.431937027E1,1.729424286E1
5.505117938E1,-1.086721802E1,4.414392471E1,1.774463272E1
