"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.682024583E0,-4.450372458E-1,-1.746113002E-1,1.146320701E-1
2.691970583E0,-4.249037504E-1,-1.486247033E-1,2.145586759E-1
2.701915583E0,-9.632085264E-2,-1.695770025E-1,3.023199439E-1
2.711860583E0,3.595441580E-1,-9.188060462E-2,4.381930828E-1
2.721805583E0,8.300400376E-1,1.909403205E-1,6.612738371E-1
2.731751583E0,1.182422400E0,5.884512067E-1,9.666108489E-1
2.741696583E0,1.360040426E0,1.029781699E0,1.231968164E0
2.751641583E0,1.358194590E0,1.484829426E0,1.275064945E0
2.761587583E0,1.207825541E0,1.811842918E0,1.149432540E0
2.771532583E0,9.753687382E-1,1.996025801E0,9.703552127E-1
2.781477583E0,7.072842121E-1,2.075923204E0,8.212833405E-1
2.791422583E0,4.561384916E-1,1.911505342E0,6.805381775E-1
2.801368583E0,2.833657861E-1,1.345863819E0,5.699833035E-1
2.811313583E0,1.484593749E-1,5.275455117E-1,4.847339094E-1
2.821258583E0,2.866433375E-2,-6.244614720E-1,4.686715007E-1
2.831203583E0,-3.037555143E-2,-2.111625910E0,4.908284545E-1
2.841149583E0,-8.920093626E-2,-3.083045721E0,5.646079183E-1
2.851094583E0,-1.515631080E-1,-3.129823208E0,6.366049051E-1
2.861039583E0,-1.227031425E-1,-2.548033953E0,7.138441801E-1
2.870984583E0,3.772222251E-2,-1.724151134E0,7.105450630E-1
2.880930583E0,2.679556906E-1,-1.152192235E0,5.764897466E-1
2.890875583E0,5.160105228E-1,-1.017591238E0,3.865866363E-1
2.900820583E0,7.453451157E-1,-1.160542488E0,1.907364279E-1
2.910766583E0,9.410989285E-1,-1.425102234E0,3.293307498E-3
2.920711583E0,1.099166870E0,-1.570626736E0,-1.745770723E-1
2.930656583E0,1.212159514E0,-1.529869914E0,-2.931865454E-1
2.940601583E0,1.297619343E0,-1.447739720E0,-3.097656965E-1
2.950547583E0,1.332498550E0,-1.557065606E0,-2.273555100E-1
2.960492583E0,1.197806835E0,-1.807674289E0,-9.781640768E-2
2.970437583E0,8.467268944E-1,-1.778709412E0,3.827129491E-3
2.980382583E0,4.572610259E-1,-1.537062883E0,7.209405303E-2
2.990328583E0,1.585675329E-1,-1.400909901E0,9.505848587E-2
3.000273583E0,1.582401991E-2,-1.286281466E0,1.212188005E-1
3.010218583E0,-1.227446087E-2,-1.096323490E0,1.721450984E-1
3.020163583E0,4.023063928E-2,-8.360672593E-1,2.625490427E-1
3.030109583E0,1.260438263E-1,-6.050907373E-1,3.642511666E-1
3.040054583E0,1.647098213E-1,-4.817048013E-1,4.200983942E-1
3.049999583E0,1.048038825E-1,-4.875856042E-1,4.631987214E-1
3.059944583E0,-4.641384631E-2,-5.816565752E-1,4.657126665E-1
3.069890583E0,-2.559423149E-1,-6.594935656E-1,3.788142502E-1
3.079835583E0,-5.148188472E-1,-6.252993941E-1,2.251831591E-1
3.089780583E0,-7.952345610E-1,-4.798612297E-1,1.388607919E-1
3.099726583E0,-1.055004001E0,-3.681989014E-1,1.201752424E-1
3.109671583E0,-1.244163632E0,-3.430030048E-1,1.858461201E-1
3.119616583E0,-1.365592718E0,-3.653755486E-1,3.285058141E-1
3.129561583E0,-1.412281156E0,-3.264521062E-1,5.098683834E-1
3.139507583E0,-1.348966599E0,-2.274626493E-1,6.795170307E-1
