"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.508655340E-1,-1.184471130E0,2.050399780E-2,-2.261946440E0
8.559164190E-1,-1.648355007E0,1.036539078E-1,-2.444324493E0
8.610040240E-1,-2.157398701E0,1.569089890E-1,-2.530317307E0
8.660549090E-1,-2.748167515E0,3.244733810E-1,-2.453785896E0
8.711057420E-1,-3.245070696E0,4.667520523E-1,-2.259022713E0
8.761566280E-1,-3.772524357E0,6.437797546E-1,-1.959157705E0
8.812075130E-1,-4.241453171E0,7.558460236E-1,-1.610459328E0
8.862583470E-1,-4.529131413E0,7.990655899E-1,-1.236542583E0
8.912670440E-1,-4.611660480E0,8.932809830E-1,-1.016229033E0
8.963179300E-1,-4.411425591E0,8.826837540E-1,-8.442368507E-1
9.013688150E-1,-4.185897827E0,8.062400818E-1,-8.529134989E-1
9.064196490E-1,-4.028430939E0,7.656736374E-1,-9.893232584E-1
9.114705340E-1,-3.748495102E0,6.786155701E-1,-1.259630203E0
9.165214190E-1,-3.522866249E0,5.902776718E-1,-1.647379398E0
9.215695440E-1,-3.158823490E0,2.909231186E-1,-1.988443494E0
9.266204300E-1,-2.873112679E0,-1.158971786E-1,-2.260795832E0
9.316713150E-1,-2.676050186E0,-6.712856293E-1,-2.403708458E0
9.367221490E-1,-2.749527454E0,-1.246035576E0,-2.735234499E0
9.417730340E-1,-3.025861740E0,-1.802580833E0,-3.503450632E0
9.468239190E-1,-3.359437466E0,-2.240053177E0,-5.075271130E0
9.518720440E-1,-3.361477852E0,-2.365417480E0,-6.118328571E0
9.569229300E-1,-2.933080435E0,-2.447123528E0,-6.499103069E0
9.619738150E-1,-2.229620457E0,-2.813690186E0,-6.308902740E0
9.670246490E-1,-1.305484056E0,-3.402379990E0,-6.088442326E0
9.720755340E-1,-1.913355589E-1,-4.331451416E0,-5.300232887E0
9.771264190E-1,7.512674332E-1,-5.488502502E0,-3.431886196E0
9.821745440E-1,1.105550051E0,-6.401799202E0,-8.853054047E-1
9.872254300E-1,1.280319214E0,-7.185664177E0,1.962279320E0
9.922763150E-1,1.395849347E0,-7.995802879E0,4.822794914E0
9.973271490E-1,1.486329436E0,-8.512526512E0,6.812666893E0
1.002378034E0,1.263023376E0,-8.465697289E0,6.769678116E0
1.007428919E0,7.114124298E-1,-8.732001305E0,5.171124458E0
1.012476992E0,-9.751288891E-1,-9.901101112E0,2.703375101E0
1.017527878E0,-3.193418980E0,-1.188586235E1,2.979407310E-1
1.022578763E0,-6.581026077E0,-1.433783531E1,-3.137985468E0
1.027629597E0,-1.258877945E1,-1.655237579E1,-1.295156956E1
1.032680482E0,-1.028229904E1,-1.634323883E1,-1.410908604E1
1.037731367E0,-1.149711847E0,-1.288318920E1,-9.648276329E0
1.042779544E0,4.910180092E0,-8.208034515E0,-1.260790586E0
1.047830430E0,8.827209473E0,-3.892166138E0,5.656571388E0
1.052881315E0,1.074629784E1,-4.747333527E-1,9.207097054E0
1.057932149E0,1.075792885E1,1.823537827E0,8.347845078E0
1.062983034E0,9.943548203E0,3.181658268E0,6.033780575E0
1.068033919E0,8.990939140E0,3.980938911E0,3.979579926E0
1.073082044E0,8.094170570E0,4.306670189E0,2.412679195E0
1.078132930E0,7.380362034E0,4.100517273E0,1.059034109E0
1.083183815E0,6.570457458E0,3.373970032E0,-1.316399574E-1
1.088234649E0,5.179664135E0,2.201363564E0,-4.229369164E-1
1.093285534E0,3.383202076E0,6.425247192E-1,-2.506709099E-2
1.098336419E0,2.739583969E0,-1.171741486E0,2.521920204E-1
1.103384544E0,2.396751404E0,-3.243013382E0,3.120794296E-1
1.108435430E0,2.058777332E0,-5.858425140E0,2.337071896E-1
1.113486315E0,1.292935014E0,-8.588930130E0,9.173965454E-2
1.118537149E0,1.618527174E-1,-1.073282623E1,3.969192505E-2
1.123588034E0,-8.230887651E-1,-1.178731251E1,2.439115047E-1
1.128638919E0,-8.689538240E-1,-1.142084694E1,8.627065420E-1
1.133687044E0,1.687443256E-1,-9.619249344E0,1.375989199E0
1.138737930E0,1.342657566E0,-6.828123093E0,1.749978065E0
1.143788815E0,1.521263003E0,-4.230926514E0,2.220928907E0
1.148839649E0,7.288520932E-1,-2.224540710E0,2.714976788E0
1.153890534E0,-3.886370659E-1,-7.178525925E-1,2.876043081E0
1.158941419E0,-1.285075426E0,4.737939835E-1,2.373640299E0
1.164029076E0,-1.857801437E0,1.459023476E0,1.570026517E0
1.169079857E0,-2.178589344E0,2.220489502E0,8.337473869E-1
1.174130690E0,-2.365957260E0,2.782104492E0,3.334798813E-1
1.179181524E0,-2.444648981E0,3.253375530E0,-7.356166840E-3
1.184232305E0,-2.393424988E0,3.628800392E0,-3.241825104E-1
1.189283138E0,-2.276133060E0,3.943392754E0,-5.917736292E-1
1.194292149E0,-2.096587896E0,4.178239822E0,-7.558687925E-1
1.199342982E0,-1.785711050E0,4.219518661E0,-8.117930889E-1
1.204393763E0,-1.512780547E0,4.099024773E0,-8.176711798E-1
1.209444597E0,-1.274475217E0,3.828282356E0,-8.012067080E-1
1.214495430E0,-1.053916216E0,3.489155769E0,-7.423710823E-1
1.219546211E0,-9.315592647E-1,3.266794682E0,-7.462284565E-1
1.224594597E0,-8.419509530E-1,3.084450722E0,-7.758407593E-1
1.229645430E0,-8.057613969E-1,2.982550621E0,-9.338614941E-1
1.234696211E0,-8.480159044E-1,2.970314026E0,-1.169786692E0
1.239747044E0,-8.879600763E-1,2.941158295E0,-1.440149188E0
1.244797878E0,-9.861665964E-1,2.940409660E0,-1.765836835E0
1.249848659E0,-1.068659067E0,2.885516167E0,-2.065935850E0
1.254897149E0,-1.091914415E0,2.743227959E0,-2.144297600E0
1.259947982E0,-1.045084476E0,2.522184372E0,-2.075047016E0
1.264998763E0,-9.935828447E-1,2.109353542E0,-1.910569906E0
1.270049597E0,-8.366999030E-1,1.550793648E0,-1.763859034E0
1.275100430E0,-5.844674110E-1,8.781509399E-1,-1.538106084E0
1.280151211E0,-1.447679400E-1,1.551551819E-1,-1.249061823E0
1.285199649E0,2.801725268E-1,-3.184814453E-1,-1.064636469E0
1.290250482E0,8.187888265E-1,-4.971246719E-1,-9.683938026E-1
1.295301263E0,1.342998266E0,-4.820547104E-1,-9.367316961E-1
1.300352097E0,1.799235821E0,-2.906875610E-1,-1.035094261E0
1.305402930E0,2.112015009E0,-2.752971649E-2,-1.345897913E0
1.310453711E0,2.250788212E0,3.249416351E-1,-1.980682969E0
1.315502149E0,2.141175508E0,8.115510941E-1,-2.755440950E0
1.320552982E0,1.905544162E0,1.423328400E0,-3.293640375E0
1.325603763E0,1.466771960E0,2.094079018E0,-3.826335430E0
1.330654597E0,9.210088849E-1,2.706612587E0,-4.319042683E0
1.335705430E0,3.172044158E-1,3.162194252E0,-4.578316689E0
1.340756211E0,-2.088866830E-1,3.522320747E0,-4.612911224E0
1.345804649E0,-7.932922840E-1,3.848280907E0,-4.537907124E0
1.350855482E0,-1.429521441E0,4.162859917E0,-4.433789253E0
1.355906263E0,-2.005781889E0,4.431409836E0,-4.153565407E0
1.360957097E0,-2.622664928E0,4.738641739E0,-3.711585283E0
1.366007930E0,-3.054520845E0,4.924437523E0,-3.211069584E0
1.371058711E0,-3.350449324E0,4.797088623E0,-2.616251945E0
1.376107149E0,-3.622795820E0,4.339874744E0,-2.175950527E0
1.381157982E0,-3.917523861E0,3.849916458E0,-1.630135179E0
1.386208763E0,-3.837467194E0,3.209254265E0,-1.019871712E0
1.391259597E0,-3.412764788E0,2.582054615E0,-5.008158684E-1
1.396310430E0,-2.619705200E0,1.986429214E0,6.288850307E-2
1.401361211E0,-1.789722323E0,1.665968895E0,4.859932661E-1
1.406409649E0,-5.260086060E-1,1.386061668E0,8.973913193E-1
1.411460482E0,7.336022258E-1,1.235194206E0,1.358992577E0
1.416511263E0,1.632464767E0,1.228652954E0,1.611860752E0
1.421562097E0,2.285228252E0,1.220435143E0,1.899553418E0
1.426612930E0,2.751340151E0,1.324964523E0,2.122808695E0
1.431663711E0,2.783757210E0,1.454396248E0,2.277569771E0
1.436712149E0,2.667212486E0,1.576081276E0,2.522654057E0
1.441762982E0,2.277707338E0,1.656279087E0,2.920592308E0
1.446813763E0,1.683988094E0,1.508990288E0,3.758548498E0
1.451864597E0,1.197826982E0,1.227066994E0,4.173569679E0
1.456915430E0,1.005424142E0,8.208551407E-1,4.320103645E0
1.461966211E0,5.510330796E-1,5.847196579E-1,4.297666550E0
1.467014649E0,1.302453876E-1,3.418388367E-1,3.905830383E0
1.472065482E0,7.280516624E-2,1.141834259E-1,3.264825821E0
1.477116263E0,2.682329416E-1,-2.619171143E-2,2.613557339E0
1.482167097E0,5.959846973E-1,-3.758335114E-2,1.682712078E0
1.487217930E0,9.552681446E-1,6.530952454E-2,3.734223843E-1
1.492268711E0,1.477116823E0,1.518421173E-1,-1.075200558E0
1.497317149E0,1.958221555E0,1.035804749E-1,-2.386002302E0
1.502367982E0,2.320451021E0,-2.459335327E-2,-3.547288656E0
1.507418763E0,2.463433743E0,-3.512563705E-1,-4.520973206E0
1.512469597E0,2.325817585E0,-8.037033081E-1,-5.123444080E0
1.517520430E0,1.995646596E0,-1.341683388E0,-5.056818485E0
1.522571211E0,1.560112834E0,-1.575969696E0,-3.709278107E0
1.527619701E0,1.282463193E0,-1.556138992E0,-1.518972397E0
1.532670534E0,1.335750699E0,-1.116675377E0,4.452483654E-1
1.537721315E0,1.428791642E0,-4.987659454E-1,1.441075087E0
1.542772149E0,1.260710359E0,-2.797126770E-3,1.678020716E0
1.547822982E0,9.695806503E-1,4.955520630E-1,1.418790579E0
1.552873763E0,7.492870092E-1,1.108407021E0,9.744114876E-1
1.557922201E0,6.974753141E-1,1.634977341E0,5.167951584E-1
1.562973034E0,6.268255115E-1,2.080509663E0,-1.264009476E-1
1.568023815E0,5.711352229E-1,2.223439693E0,-9.858341217E-1
1.573074649E0,5.736255646E-1,2.161632538E0,-1.684911966E0
1.578125482E0,6.771183014E-1,2.000982761E0,-1.897130489E0
1.583176263E0,8.167774677E-1,1.917440414E0,-1.930766344E0
1.588224649E0,8.202652931E-1,1.947442055E0,-1.812412500E0
1.593275482E0,6.321375370E-1,2.000706673E0,-1.468378782E0
1.598326263E0,4.577412605E-1,1.965743542E0,-8.206453323E-1
1.603377097E0,3.035628796E-1,2.017003536E0,8.449840546E-2
1.608427930E0,8.313071728E-2,2.055110931E0,1.063037753E0
1.613478711E0,-1.831724644E-1,2.175466537E0,1.736128807E0
1.618527201E0,-6.671178341E-1,2.237321854E0,1.493818641E0
1.623578034E0,-1.468844652E0,2.117550850E0,4.333677292E-1
1.628628815E0,-2.180919170E0,1.806559086E0,-9.025783539E-1
1.633679649E0,-2.533221245E0,1.293925285E0,-1.941191912E0
1.638730482E0,-2.501451492E0,7.050619125E-1,-2.397478819E0
1.643781263E0,-2.286700249E0,2.375431061E-1,-2.187170744E0
1.648829649E0,-2.151408672E0,-1.437425613E-1,-1.699120760E0
1.653880482E0,-1.823832035E0,-5.021018982E-1,-1.598344564E0
1.658931263E0,-1.279116869E0,-1.082438469E0,-2.284745455E0
1.663982097E0,-6.716837883E-1,-1.950452805E0,-3.551481009E0
1.669032930E0,-2.966775894E-1,-3.029939651E0,-4.739235401E0
1.674083711E0,-1.618320942E-1,-4.309550285E0,-5.419242859E0
1.679131888E0,-2.249302864E-1,-5.832943916E0,-5.675693512E0
1.684182044E0,-2.091264725E-1,-7.236636162E0,-5.534347534E0
1.689232253E0,1.757218838E-1,-8.888430595E0,-4.057747841E0
1.694282461E0,1.887705326E-1,-1.051213646E1,-2.397615910E0
1.699332617E0,-5.330047607E-1,-1.170224190E1,-6.466212273E-1
1.704382826E0,-1.281785727E0,-1.246878529E1,7.438530922E-1
1.709473763E0,-1.928463459E0,-1.289462376E1,1.519160748E0
1.714523972E0,-2.466766119E0,-1.276460743E1,1.897406578E0
1.719574180E0,-2.819955111E0,-1.201799393E1,2.072876453E0
1.724624336E0,-2.727734089E0,-1.095673752E1,1.963116407E0
1.729674544E0,-1.997828484E0,-9.678895950E0,1.483155251E0
1.734724701E0,-1.042691708E0,-8.269783020E0,9.786314964E-1
1.739736888E0,-8.993148804E-2,-6.848089218E0,7.939620018E-1
1.744787044E0,7.136201859E-1,-5.664803505E0,9.384784698E-1
1.749837253E0,1.215821266E0,-4.620522499E0,1.357175827E0
1.754887461E0,1.509242296E0,-3.641230583E0,2.082747936E0
1.759937617E0,1.522804022E0,-2.616449356E0,2.714175224E0
