"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.503187513E0,-3.373299789E1,3.202499771E1,5.245999813E0
2.513187513E0,-3.361100006E1,3.212260056E1,5.404599667E0
2.523187513E0,-3.354999924E1,3.223239899E1,5.502200127E0
2.533187513E0,-3.341579819E1,3.230559921E1,5.660799980E0
2.543187513E0,-3.326939774E1,3.253739929E1,5.770599842E0
2.553187513E0,-3.312300110E1,3.267160034E1,5.795000076E0
2.563187513E0,-3.300099945E1,3.285459900E1,5.733999729E0
2.573187513E0,-3.291559982E1,3.303759766E1,5.733999729E0
2.583187513E0,-3.283020020E1,3.313520050E1,5.697400093E0
2.593187513E0,-3.283020020E1,3.326939774E1,5.563199997E0
2.603187513E0,-3.274480057E1,3.337919998E1,5.538799763E0
2.613187513E0,-3.262279892E1,3.358660126E1,5.441199780E0
2.623187513E0,-3.258620071E1,3.362319946E1,5.258199692E0
2.633187513E0,-3.253739929E1,3.373299789E1,5.197199821E0
2.643187513E0,-3.251300049E1,3.384280014E1,5.209399700E0
2.653187513E0,-3.232999802E1,3.400139999E1,5.221600056E0
2.663187513E0,-3.226900101E1,3.418439865E1,5.245999813E0
2.673187513E0,-3.207379913E1,3.424539948E1,5.441199780E0
2.683187513E0,-3.184199905E1,3.440399933E1,5.685199738E0
2.693187513E0,-4.030879974E1,3.257399750E1,8.149600029E0
2.703187513E0,-3.999160004E1,3.269599915E1,8.356999397E0
2.713187513E0,-3.966220093E1,3.283020020E1,8.503399849E0
2.723187513E0,-3.928400040E1,3.291559982E1,8.771800041E0
2.733187513E0,-3.893019867E1,3.296440125E1,8.942600250E0
2.743187513E0,-3.847879791E1,3.303759766E1,9.101200104E0
2.753187513E0,-3.810059738E1,3.312300110E1,9.271999359E0
2.763187513E0,-3.772240067E1,3.312300110E1,9.369600296E0
2.773187513E0,-3.731979752E1,3.308639908E1,9.540399551E0
2.783187513E0,-3.690499878E1,3.315959930E1,9.857600212E0
2.793187513E0,-3.644139862E1,3.309859848E1,1.023579979E1
2.803187513E0,-3.597779846E1,3.302539825E1,1.051639938E1
2.813187513E0,-3.551419830E1,3.300099945E1,1.088239956E1
2.823187513E0,-3.506279755E1,3.295219803E1,1.122399998E1
2.833187513E0,-3.456259918E1,3.284239960E1,1.159000015E1
2.843187513E0,-3.415999985E1,3.280579758E1,1.194379997E1
2.853187513E0,-3.373299789E1,3.273260117E1,1.217560005E1
2.863187513E0,-3.335480118E1,3.264719772E1,1.240740013E1
2.873187513E0,-3.292779922E1,3.258620071E1,1.265139961E1
2.883187513E0,-3.263499832E1,3.267160034E1,1.284659958E1
2.893187513E0,-3.222019958E1,3.265940094E1,1.316379929E1
2.903187513E0,-3.171999931E1,3.258620071E1,1.354199982E1
2.913187513E0,-3.120759964E1,3.353779984E1,1.366399956E1
2.923187513E0,-3.060980034E1,3.344020081E1,1.413980007E1
2.933187513E0,-2.991440010E1,3.326939774E1,1.504259968E1
2.943187513E0,-2.917020035E1,3.301319885E1,1.606739998E1
2.953187513E0,-2.849919891E1,3.477000046E1,1.656760025E1
2.963187513E0,-2.764519882E1,3.425759888E1,1.782419968E1
2.973187513E0,-2.680340004E1,3.354999924E1,1.901980019E1
2.983187513E0,-2.587619972E1,3.286679840E1,2.020319939E1
2.993187513E0,-2.502219963E1,3.212260056E1,2.132559967E1
3.003187513E0,-2.425359917E1,3.132959938E1,2.259440041E1
3.013187513E0,-2.359479904E1,3.065859985E1,2.358259964E1
3.023187513E0,-2.294820023E1,2.992659950E1,2.450979996E1
3.033187513E0,-2.239920044E1,2.921899986E1,2.533939934E1
3.043187513E0,-2.189900017E1,2.856019974E1,2.599819946E1
3.053187513E0,-2.152079964E1,2.818199921E1,2.657159996E1
3.063187513E0,-2.125239944E1,2.775499916E1,2.715719986E1
3.073187513E0,-2.059359932E1,2.831620026E1,2.764519882E1
3.083187513E0,-2.021539879E1,2.807219887E1,2.790139961E1
3.093187513E0,-1.994700050E1,2.784039879E1,2.816979980E1
3.103187513E0,-1.977619934E1,2.779159927E1,2.827960014E1
