"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.460554300E-1,1.922212958E0,1.840189993E-1,-1.188134313E0
7.485808470E-1,1.889323950E0,2.223673910E-1,-1.212634683E0
7.511063150E-1,1.859497428E0,2.713681161E-1,-1.235004544E0
7.536317320E-1,1.827540398E0,3.310211599E-1,-1.253113508E0
7.561571490E-1,1.797713876E0,3.990629315E-1,-1.268026710E0
7.586826170E-1,1.770017862E0,4.778901637E-1,-1.273352981E0
7.612080340E-1,1.740191340E0,5.588479042E-1,-1.277613878E0
7.637334510E-1,1.712495208E0,6.376751065E-1,-1.280809522E0
7.662589190E-1,1.692255855E0,7.292851806E-1,-1.273352981E0
7.687816280E-1,1.672016382E0,8.145037889E-1,-1.265896320E0
7.713070440E-1,1.657103181E0,8.901353478E-1,-1.253113508E0
7.738325130E-1,1.640059352E0,9.625712037E-1,-1.239265442E0
7.763579300E-1,1.626211405E0,1.028482437E0,-1.227547884E0
7.788833470E-1,1.616624236E0,1.084939837E0,-1.209438920E0
7.814088150E-1,1.603841424E0,1.127549171E0,-1.196656108E0
7.839342320E-1,1.591058731E0,1.155245185E0,-1.178547144E0
7.864596490E-1,1.587862968E0,1.176549911E0,-1.160438180E0
7.889851170E-1,1.586797714E0,1.184006453E0,-1.145524979E0
7.915105340E-1,1.597450018E0,1.170158505E0,-1.128481269E0
7.940359510E-1,1.617689490E0,1.142462373E0,-1.111437559E0
7.965614190E-1,1.642189860E0,1.104114056E0,-1.088002324E0
7.990841280E-1,1.665624976E0,1.052982807E0,-1.061371565E0
8.016095440E-1,1.690125346E0,9.998543262E-1,-1.029414535E0
8.041350130E-1,1.716756225E0,9.444622397E-1,-9.900009632E-1
8.066604300E-1,1.732734680E0,8.805482388E-1,-9.559134841E-1
8.091858470E-1,1.751908898E0,8.176994920E-1,-9.111737013E-1
8.117113150E-1,1.766822100E0,7.537854910E-1,-8.621729612E-1
8.142367320E-1,1.767887354E0,6.834801435E-1,-8.175663352E-1
8.167621490E-1,1.767887354E0,6.174356937E-1,-7.675004005E-1
8.192876170E-1,1.760430694E0,5.418041348E-1,-7.259563208E-1
8.218130340E-1,1.743386984E0,4.619116783E-1,-6.865426898E-1
8.243384510E-1,1.723147511E0,3.810871243E-1,-6.471290588E-1
8.268639190E-1,1.691190600E0,3.054555655E-1,-6.119763851E-1
8.293866280E-1,1.651776910E0,2.287587970E-1,-5.853455663E-1
8.319120440E-1,1.608102441E0,1.478010863E-1,-5.565842390E-1
8.344375130E-1,1.555905938E0,6.364767253E-2,-5.363448262E-1
8.369629300E-1,1.496252894E0,-1.837527007E-2,-5.150401592E-1
8.394883470E-1,1.433404207E0,-1.025286764E-1,-4.969311953E-1
8.420138150E-1,1.363098860E0,-1.920082569E-1,-4.798874855E-1
8.445392320E-1,1.288665652E0,-2.813546658E-1,-4.649742246E-1
8.470646490E-1,1.206642747E0,-3.708342612E-1,-4.489957094E-1
8.495901170E-1,1.123554587E0,-4.592485726E-1,-4.351477027E-1
8.521155340E-1,1.038335919E0,-5.444672108E-1,-4.223648906E-1
8.546409510E-1,9.488562942E-1,-6.286206245E-1,-4.053211510E-1
8.571664190E-1,8.551158309E-1,-7.117088437E-1,-3.872122169E-1
8.597286070E-1,7.645710111E-1,-7.894708514E-1,-3.691032529E-1
8.622540240E-1,6.752246022E-1,-8.596430421E-1,-3.509942889E-1
8.647794400E-1,5.878754854E-1,-9.192960858E-1,-3.286243975E-1
8.673049090E-1,5.111786723E-1,-9.693620801E-1,-3.073197305E-1
8.698303260E-1,4.419385493E-1,-1.011971354E0,-2.785584331E-1
8.723557420E-1,3.812202811E-1,-1.038602233E0,-2.466014475E-1
8.748812110E-1,3.332847953E-1,-1.051385045E0,-2.135792226E-1
8.774066280E-1,2.981320918E-1,-1.043928385E0,-1.774944514E-1
8.799320440E-1,2.778926790E-1,-1.023688912E0,-1.412765235E-1
8.824575130E-1,2.651098669E-1,-9.896014929E-1,-1.039933711E-1
8.849829300E-1,2.704360485E-1,-9.299484491E-1,-6.564498693E-2
8.875083470E-1,2.842840552E-1,-8.553821445E-1,-3.049229458E-2
8.899916280E-1,3.077192008E-1,-7.692313790E-1,1.464695437E-3
8.925170440E-1,3.407414258E-1,-6.722952127E-1,3.022598661E-2
8.950425130E-1,3.822855055E-1,-5.700328350E-1,5.579157919E-2
8.975679300E-1,4.291557670E-1,-4.603138268E-1,7.603100687E-2
9.000933470E-1,4.781564772E-1,-3.463338912E-1,9.094426781E-2
9.026188150E-1,5.356790423E-1,-2.376801223E-1,1.058575287E-1
9.051442320E-1,5.942668915E-1,-1.302247345E-1,1.175750941E-1
9.076696490E-1,6.485937834E-1,-2.263620123E-2,1.229012609E-1
9.101951170E-1,7.070484161E-1,8.495233208E-2,1.303578913E-1
9.127205340E-1,7.581796050E-1,1.861494780E-1,1.346188188E-1
9.152459510E-1,7.986584306E-1,2.862813771E-1,1.420754492E-1
9.177714190E-1,8.295502067E-1,3.928046823E-1,1.474016160E-1
9.202941280E-1,8.540505767E-1,4.981296062E-1,1.474016160E-1
9.228195440E-1,8.732247949E-1,5.971962810E-1,1.452711523E-1
9.253450130E-1,8.849423528E-1,6.877411008E-1,1.367492825E-1
9.278704300E-1,8.913337588E-1,7.580464482E-1,1.239664927E-1
9.303958470E-1,8.945294023E-1,8.091776371E-1,1.069227681E-1
9.329213150E-1,8.902685046E-1,8.368737102E-1,8.774857223E-2
9.354467320E-1,8.806813955E-1,8.421998620E-1,7.283531129E-2
9.379721490E-1,8.604419827E-1,8.304823041E-1,6.218297780E-2
9.404976170E-1,8.263545036E-1,8.081123829E-1,6.111774594E-2
9.430230340E-1,7.635057569E-1,7.612421513E-1,6.857437640E-2
9.455484510E-1,6.571156383E-1,6.888062954E-1,8.987903595E-2
9.480739190E-1,5.122439265E-1,5.940005779E-1,1.229012609E-1
9.505966280E-1,3.364804685E-1,4.959991276E-1,1.719019860E-1
9.531220440E-1,1.298252791E-1,3.853480518E-1,2.230331600E-1
9.556475130E-1,-9.906667471E-2,2.639114857E-1,2.741643488E-1
9.581729300E-1,-3.493964374E-1,1.254311949E-1,3.220998347E-1
9.606983470E-1,-6.198324561E-1,-3.115806542E-2,3.572525382E-1
9.632238150E-1,-9.010539651E-1,-2.079867423E-1,3.892095089E-1
9.657492320E-1,-1.200251341E0,-4.049217105E-1,4.114462435E-1
9.682746490E-1,-1.510234118E0,-6.222292185E-1,4.231638312E-1
9.708001170E-1,-1.811561942E0,-8.489907384E-1,4.274247587E-1
9.733255340E-1,-2.085326910E0,-1.065232992E0,4.178376496E-1
9.758509510E-1,-2.315417051E0,-1.256974936E0,3.986634612E-1
9.783764190E-1,-2.489982128E0,-1.397585750E0,3.742962480E-1
9.808991280E-1,-2.585853100E0,-1.447518468E0,3.455349505E-1
9.834245440E-1,-2.603962183E0,-1.390129089E0,3.220998347E-1
9.859500130E-1,-2.531526327E0,-1.201582909E0,2.954690158E-1
9.884754300E-1,-2.369610786E0,-8.585777879E-1,2.720338702E-1
9.910008470E-1,-2.118349075E0,-3.708342612E-1,2.560553849E-1
9.935263150E-1,-1.792387724E0,2.394111156E-1,2.336854935E-1
9.960517320E-1,-1.406906486E0,9.678973556E-1,2.145113051E-1
9.985771490E-1,-9.884030819E-1,1.776142955E0,1.921414137E-1
1.001102617E0,-5.665708184E-1,2.615413427E0,1.708367467E-1
1.003628034E0,-1.629806459E-1,3.417400599E0,1.420754492E-1
1.006153451E0,1.809564531E-1,4.108470440E0,1.047922969E-1
1.008678919E0,4.440690279E-1,4.638956547E0,6.857437640E-2
1.011201576E0,6.240934134E-1,4.974371910E0,3.981308267E-2
1.013726992E0,7.198312283E-1,5.080895424E0,2.916075476E-2
1.016252461E0,7.304835320E-1,4.926436424E0,4.087831825E-2
1.018777878E0,6.581808329E-1,4.444018841E0,7.816147059E-2
1.021303294E0,4.834826291E-1,3.523790836E0,1.655105799E-1
1.023828763E0,1.266295761E-1,2.013689995E0,3.263607621E-1
1.026354180E0,-5.868102312E-1,-2.069215178E-1,5.967968106E-1
1.028879597E0,-1.546452045E0,-2.664813519E0,9.589760303E-1
1.031405065E0,-2.414350748E0,-4.543485165E0,1.308239341E0
1.033930482E0,-3.085314274E0,-5.601128578E0,1.541525364E0
1.036455899E0,-3.535907984E0,-5.934412956E0,1.654306889E0
1.038981367E0,-3.734973192E0,-5.701127052E0,1.682002902E0
1.041504128E0,-3.683842182E0,-5.068645000E0,1.635132670E0
1.044029544E0,-3.416601658E0,-4.177178383E0,1.540460110E0
