"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.813246634E0,-2.224059868E1,2.546139908E1,1.843420029E1
1.823246634E0,-2.172819901E1,2.568099976E1,1.812919998E1
1.833246634E0,-2.131340027E1,2.585179901E1,1.811700058E1
1.843246634E0,-2.097179985E1,2.598600006E1,1.801939964E1
1.853246634E0,-2.075219917E1,2.608359909E1,1.797060013E1
1.863246634E0,-2.045940018E1,2.626659966E1,1.805599976E1
1.873246634E0,-2.022760010E1,2.636419868E1,1.803159904E1
1.883246634E0,-2.011779976E1,2.640079880E1,1.793400002E1
1.893246634E0,-2.005679893E1,2.636419868E1,1.784860039E1
1.903246634E0,-1.999580002E1,2.630319977E1,1.778759956E1
1.913246634E0,-2.002019882E1,2.625440025E1,1.759239960E1
1.923246634E0,-1.997139931E1,2.618120003E1,1.738500023E1
1.933246634E0,-1.992259979E1,2.613239861E1,1.726300049E1
1.943246634E0,-1.987380028E1,2.604699898E1,1.699460030E1
1.953246634E0,-1.986159897E1,2.597379875E1,1.683600044E1
1.963246634E0,-1.976399994E1,2.594939995E1,1.664080048E1
1.973246634E0,-1.966639900E1,2.599819946E1,1.649440002E1
1.983246634E0,-1.950779915E1,2.604699898E1,1.629920006E1
1.993246634E0,-1.942239952E1,2.607139969E1,1.621380043E1
2.003246634E0,-1.938579941E1,2.605920029E1,1.618939972E1
2.013246634E0,-1.931259918E1,2.614459991E1,1.620159912E1
2.023246634E0,-1.927599907E1,2.618120003E1,1.621380043E1
2.033246634E0,-1.917840004E1,2.619339943E1,1.621380043E1
2.043246634E0,-1.909300041E1,2.625440025E1,1.625040054E1
2.053246634E0,-1.906859970E1,2.631539917E1,1.633580017E1
2.063246634E0,-1.900759888E1,2.638859940E1,1.648220062E1
2.073246634E0,-1.890999985E1,2.651059914E1,1.661639977E1
2.083246634E0,-1.882460022E1,2.668140030E1,1.686039925E1
2.093246634E0,-1.865379906E1,2.677899933E1,1.706780052E1
2.103246634E0,-1.849519920E1,2.696199989E1,1.733619881E1
