"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.030698875E0,4.416565704E0,-4.634961548E0,-6.997049561E0
2.040642875E0,4.849764862E0,-4.336781616E0,-6.490053864E0
2.050586875E0,5.318889313E0,-4.321962433E0,-6.334976349E0
2.060530875E0,5.904471588E0,-4.295916595E0,-6.825805664E0
2.070474875E0,6.263724518E0,-4.457730103E0,-7.584727478E0
2.080418875E0,6.234535217E0,-4.418511658E0,-8.162825317E0
2.090362875E0,5.968837738E0,-4.142934723E0,-8.373137970E0
2.100306875E0,5.436095581E0,-4.115841064E0,-8.176896057E0
2.110250875E0,4.907245331E0,-4.031416626E0,-7.798033905E0
2.120194875E0,4.710554352E0,-4.015549622E0,-7.611671448E0
2.130139875E0,4.626129913E0,-4.147126007E0,-7.513775024E0
2.140083875E0,4.527634735E0,-4.193828888E0,-7.494016113E0
2.150027875E0,4.505331116E0,-4.203858032E0,-7.443421326E0
2.159971875E0,4.552333374E0,-4.305646362E0,-7.378456421E0
2.169915875E0,4.458927612E0,-4.238885193E0,-7.413932648E0
2.179859875E0,4.389621735E0,-4.169279938E0,-7.486980743E0
2.189803875E0,4.340523834E0,-3.968996429E0,-7.497159576E0
2.199747875E0,4.399201813E0,-4.083358612E0,-7.461982727E0
2.209692875E0,4.495900726E0,-4.210743713E0,-7.536677399E0
2.219636875E0,4.521946564E0,-4.212539978E0,-7.534282379E0
2.229580875E0,4.609664154E0,-4.234544220E0,-7.555837555E0
2.239524875E0,4.682562561E0,-4.321962433E0,-7.645800476E0
2.249468875E0,4.713847504E0,-4.325405273E0,-7.757168884E0
2.259412875E0,4.731211395E0,-4.278852081E0,-7.812703400E0
2.269356875E0,4.674329681E0,-4.268373871E0,-7.789351959E0
2.279300875E0,4.658163300E0,-4.199067993E0,-7.714208221E0
2.289244875E0,4.553979950E0,-4.225263519E0,-7.652686157E0
2.299189875E0,4.472549286E0,-4.183051300E0,-7.569608917E0
2.309133875E0,4.532125397E0,-4.198768616E0,-7.417525177E0
2.319077875E0,4.573589172E0,-4.217330017E0,-7.328011322E0
2.329021875E0,4.579127655E0,-4.199966125E0,-7.307953033E0
2.338965875E0,4.579726410E0,-4.144431610E0,-7.327412567E0
2.348909875E0,4.668641510E0,-4.186943207E0,-7.291487274E0
2.358853875E0,4.728816376E0,-4.211492157E0,-7.338788910E0
2.368797875E0,4.786296844E0,-4.197720795E0,-7.366780701E0
2.378742875E0,4.790488129E0,-4.192182312E0,-7.384593658E0
2.388686875E0,4.806953888E0,-4.182452545E0,-7.424111481E0
2.398630875E0,4.900958405E0,-4.278253326E0,-7.396119690E0
2.408574875E0,4.952601013E0,-4.340224457E0,-7.348219299E0
2.418518875E0,4.954546967E0,-4.330345001E0,-7.355703735E0
2.428462875E0,4.963528290E0,-4.283342743E0,-7.322622528E0
2.438406875E0,4.897365875E0,-4.246968384E0,-7.341034241E0
2.448350875E0,4.935686188E0,-4.271068268E0,-7.328460388E0
2.458295875E0,4.934788055E0,-4.270768890E0,-7.288792877E0
2.468239875E0,4.882696381E0,-4.250411224E0,-7.300917664E0
2.478183875E0,4.927602997E0,-4.329895935E0,-7.287146301E0
2.488127875E0,4.944966888E0,-4.334236908E0,-7.307803345E0
2.498071875E0,4.965623932E0,-4.340074768E0,-7.310797119E0
2.508015875E0,4.985831909E0,-4.363126831E0,-7.343878326E0
2.517959875E0,5.001998291E0,-4.368066559E0,-7.385491791E0
2.527903875E0,5.091961212E0,-4.393962708E0,-7.392227783E0
2.537848875E0,5.066214752E0,-4.363575897E0,-7.460186462E0
2.547792875E0,5.088218994E0,-4.376299438E0,-7.366032257E0
2.557736875E0,5.121300201E0,-4.313130798E0,-7.380102997E0
2.567680875E0,5.112169189E0,-4.262236633E0,-7.366331635E0
2.577624875E0,5.145998840E0,-4.281396790E0,-7.305258636E0
2.587568875E0,5.147645416E0,-4.221970367E0,-7.311096497E0
2.597512875E0,5.116659851E0,-4.158352661E0,-7.312593384E0
2.607456875E0,5.044509888E0,-4.037104797E0,-7.264543304E0
2.617401875E0,5.069507904E0,-4.056863708E0,-7.266788635E0
2.627345875E0,5.042414246E0,-3.942800903E0,-7.317383423E0
2.637289875E0,5.014572144E0,-3.986510010E0,-7.347919922E0
2.647234792E0,5.010680237E0,-3.921096039E0,-7.422015839E0
2.657178792E0,5.019811249E0,-3.945495300E0,-7.439379730E0
2.667122792E0,5.014721832E0,-3.946842499E0,-7.448810120E0
2.677066792E0,4.977449341E0,-3.971690826E0,-7.507338409E0
2.687011792E0,4.949457550E0,-4.016148376E0,-7.497009888E0
2.696955792E0,4.946314087E0,-4.109853516E0,-7.421117706E0
2.706899792E0,4.885690155E0,-4.152814178E0,-7.430398407E0
2.716843792E0,4.842280426E0,-4.137695618E0,-7.432494049E0
2.726787792E0,4.840484161E0,-4.184398499E0,-7.367229767E0
2.736731792E0,4.851561127E0,-4.223167877E0,-7.343129883E0
2.746675792E0,4.916975098E0,-4.197421417E0,-7.307054901E0
2.756619792E0,4.956043854E0,-4.135001221E0,-7.273674316E0
2.766564792E0,5.001698914E0,-4.022884369E0,-7.270979919E0
2.776508792E0,5.074597321E0,-3.982767792E0,-7.241491241E0
2.786452792E0,5.182822266E0,-4.090244293E0,-7.201973419E0
2.796396792E0,5.232518921E0,-4.090094604E0,-7.224127350E0
2.806340792E0,5.259462891E0,-4.035158844E0,-7.270830231E0
2.816284792E0,5.265450439E0,-4.129762115E0,-7.270680542E0
2.826228792E0,5.424270172E0,-4.156706085E0,-7.271728363E0
2.836173792E0,5.422324219E0,-4.175566864E0,-7.279512177E0
2.846117792E0,5.363795929E0,-4.296665039E0,-7.234605560E0
2.856061792E0,5.353916473E0,-4.362378387E0,-7.179220734E0
2.866005792E0,5.347928925E0,-4.436324615E0,-7.091503143E0
2.875949792E0,5.314698029E0,-4.469705200E0,-7.048542480E0
2.885893792E0,5.283113708E0,-4.491709442E0,-7.000941467E0
2.895837792E0,5.277724915E0,-4.580923920E0,-6.933132477E0
2.905782792E0,5.280119934E0,-4.559518433E0,-6.914720764E0
2.915726792E0,5.314698029E0,-4.562063141E0,-6.871610413E0
2.925670792E0,5.282514954E0,-4.499942322E0,-6.903793488E0
2.935614792E0,5.258714447E0,-4.484075317E0,-6.941365356E0
2.945558792E0,5.230123901E0,-4.422702942E0,-6.977739716E0
2.955502792E0,5.157075806E0,-4.417613525E0,-7.085665283E0
