"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.394276000E0,-1.833864599E-1,5.583424568E-1,1.464932561E-1
1.404220000E0,-1.262914836E-1,2.522536516E-1,2.551352978E-1
1.414164000E0,-6.233225018E-2,4.008552991E-3,3.433704078E-1
1.424109000E0,9.988019243E-3,-3.481953591E-2,4.120860994E-1
1.434053000E0,4.338943586E-2,2.284095064E-2,4.822944105E-1
1.443997000E0,9.381932206E-3,1.197206229E-1,5.934417248E-1
1.453941000E0,-1.148895249E-1,3.462885618E-1,7.729249597E-1
1.463885000E0,-2.772262394E-1,5.331044793E-1,1.022182703E0
1.473829000E0,-4.530143440E-1,6.876267195E-1,1.275336266E0
1.483773000E0,-5.208636522E-1,8.744413853E-1,1.351346374E0
1.493717000E0,-5.925996304E-1,8.823276758E-1,1.179160833E0
1.503661000E0,-6.288239360E-1,6.308674812E-1,8.225715756E-1
1.513605000E0,-6.632828712E-1,3.195351660E-1,4.420032501E-1
1.523549000E0,-5.690886974E-1,1.185197830E-1,2.300890982E-1
1.533494000E0,-4.974695742E-1,2.487328649E-1,1.214412302E-1
1.543438000E0,-4.959571660E-1,6.524022818E-1,9.419310093E-2
1.553382000E0,-5.044710040E-1,1.336308241E0,1.667070538E-1
1.563326000E0,-4.418447018E-1,2.033347130E0,2.710062861E-1
1.573270000E0,-3.360377550E-1,2.256629229E0,4.752262831E-1
1.583214000E0,-2.984536290E-1,1.816403627E0,7.582598329E-1
1.593158000E0,-3.436979055E-1,1.482221723E0,1.062352061E0
1.603102000E0,-4.157883227E-1,1.355830550E0,1.366538525E0
1.613046000E0,-4.262030125E-1,1.156842947E0,1.665406108E0
1.622990000E0,-4.888043404E-1,1.313106060E0,1.838887930E0
1.632935000E0,-5.993507504E-1,1.868825674E0,1.914014578E0
1.642878875E0,-8.010926247E-1,2.436633348E0,1.888720632E0
1.652822875E0,-1.009154797E0,2.467852116E0,1.873298883E0
1.662766875E0,-1.209514022E0,2.568435192E0,2.021698952E0
1.672710875E0,-9.024847150E-1,2.486967325E0,2.409914970E0
1.682654875E0,-5.821610093E-1,2.486441851E0,2.517559528E0
1.692598875E0,-7.032293081E-1,2.250920534E0,2.479589462E0
1.702542875E0,-7.372788787E-1,1.762095690E0,2.416136742E0
1.712486875E0,-6.032679081E-1,6.001416445E-1,2.322724819E0
1.722430875E0,-7.099509239E-1,-4.460250214E-2,2.061827660E0
1.732374875E0,-7.440842986E-1,-5.537829399E-1,1.753103733E0
1.742319875E0,-9.348012805E-1,-7.398119569E-1,1.491313457E0
1.752263875E0,-1.060326695E0,-5.622011423E-1,1.146316409E0
1.762207875E0,-1.178091407E0,-5.903808475E-1,9.235432148E-1
1.772151875E0,-1.108193159E0,-5.608519316E-1,7.370592952E-1
1.782095875E0,-9.314281940E-1,-5.893962383E-1,5.255324244E-1
1.792039875E0,-6.473726034E-1,-3.404504955E-1,3.623959720E-1
1.801983875E0,-5.237672925E-1,-1.362819225E-1,2.828510702E-1
1.811927875E0,-4.205024242E-1,-5.371904001E-2,2.616995275E-1
1.821871875E0,-3.654533029E-1,-1.684784144E-2,1.944912076E-1
1.831815875E0,-3.288887441E-1,-6.175650656E-2,1.372829229E-1
1.841760875E0,-2.901466787E-1,-7.458708435E-2,9.479911625E-2
1.851704875E0,-2.608818710E-1,-6.990365684E-2,6.044068560E-2
1.861648875E0,-2.131082565E-1,-4.954911396E-2,1.010001823E-2
1.871592875E0,-1.707042754E-1,7.711254992E-3,-3.991030157E-2
1.881536875E0,-1.189023331E-1,4.476115108E-2,-8.850020915E-2
1.891480875E0,-7.735563070E-2,9.227289259E-2,-1.395709962E-1
1.901424875E0,-4.001758620E-2,1.026432440E-1,-1.597638875E-1
1.911368875E0,1.649363898E-2,8.711493760E-2,-1.144962385E-1
1.921312875E0,4.998981580E-2,1.702111512E-1,-1.731699407E-1
1.931256875E0,1.015075073E-1,1.972099096E-1,-2.365935743E-1
1.941201875E0,1.911593676E-1,2.596208155E-1,-2.553502321E-1
1.951145875E0,2.582095861E-1,3.623466790E-1,-3.020744622E-1
1.961089875E0,2.994251847E-1,4.821010530E-1,-3.785966635E-1
1.971033875E0,3.724388778E-1,6.109367609E-1,-4.715541601E-1
1.980977875E0,4.366538227E-1,7.822228074E-1,-5.754935741E-1
1.990921875E0,5.184829831E-1,8.470969200E-1,-6.608166099E-1
2.000865875E0,5.800755024E-1,8.979169726E-1,-7.746193409E-1
2.010809875E0,6.142205000E-1,8.912861943E-1,-8.599964976E-1
2.020753875E0,4.436753988E-1,8.008015752E-1,-8.114947081E-1
2.030698875E0,2.942427061E-2,5.021981001E-1,-6.635821462E-1
2.040642875E0,-3.822162747E-1,1.228031982E-2,-4.991955757E-1
2.050586875E0,-7.184465528E-1,-4.460543394E-1,-3.455953598E-1
2.060530875E0,-8.912324309E-1,-7.532017231E-1,-2.087309808E-1
2.070474875E0,-8.209199905E-1,-8.331593275E-1,-1.412122399E-1
2.080418875E0,-6.162994504E-1,-6.212033629E-1,-6.585942209E-2
2.090362875E0,-3.820208609E-1,-2.641155124E-1,-2.965587936E-2
2.100306875E0,-1.490722895E-1,-2.341423929E-2,2.351892553E-2
2.110250875E0,1.787280478E-2,1.000417024E-1,6.945997477E-2
2.120194875E0,1.118581519E-1,1.356761307E-1,9.976248443E-2
2.130139875E0,1.281055957E-1,1.770444512E-1,1.025074795E-1
2.140083875E0,8.440524340E-2,1.996940970E-1,1.053325608E-1
2.150027875E0,2.013170905E-2,1.811171770E-1,1.047218591E-1
2.159971875E0,-5.657984689E-2,1.432134658E-1,9.033679962E-2
2.169915875E0,-8.786153793E-2,1.461047083E-1,6.544312835E-2
2.179859875E0,-9.007488936E-2,1.651971787E-1,5.370497704E-2
2.189803875E0,-1.112456843E-1,1.661736369E-1,3.770406172E-2
2.199747875E0,-6.032285094E-2,1.504926831E-1,4.076563194E-2
2.209692875E0,-5.529955402E-2,1.601657569E-1,4.923357069E-2
2.219636875E0,-6.652770191E-2,1.463719159E-1,4.491765052E-2
2.229580875E0,-8.561556041E-2,1.018319353E-1,5.461890250E-2
2.239524875E0,-1.011362001E-1,7.580751926E-2,5.965999514E-2
2.249468875E0,-1.084359139E-1,8.492539823E-2,6.690669060E-2
2.259412875E0,-1.062920690E-1,9.567604959E-2,6.547711045E-2
2.269356875E0,-1.017081514E-1,1.043532565E-1,5.094446242E-2
2.279300875E0,-8.228065819E-2,1.157246903E-1,3.445550054E-2
2.289244875E0,-4.384620488E-2,1.715808213E-1,2.196774632E-2
2.299189875E0,-1.831101626E-2,2.154215127E-1,1.702225581E-2
2.309133875E0,2.069864422E-6,2.291697711E-1,1.342163235E-2
2.319077875E0,2.664431930E-3,2.302198559E-1,1.179204322E-2
2.329021875E0,-1.027259976E-2,2.359360009E-1,3.031067178E-2
2.338965875E0,-2.643825486E-2,2.324179560E-1,5.516782030E-2
2.348909875E0,-5.088046566E-2,1.896276325E-1,7.249271870E-2
2.358853875E0,-8.457238227E-2,1.596401781E-1,9.045785666E-2
2.368797875E0,-1.149813309E-1,1.468041539E-1,1.129389331E-1
2.378742875E0,-1.386363357E-1,1.590195447E-1,1.348735243E-1
2.388686875E0,-1.429804713E-1,1.699156612E-1,1.501622349E-1
2.398630875E0,-1.353542358E-1,1.910680830E-1,1.536179632E-1
2.408574875E0,-1.230914742E-1,1.981825531E-1,1.492571831E-1
2.418518875E0,-1.109093726E-1,1.934080273E-1,1.602003723E-1
2.428462875E0,-1.085237861E-1,1.840423942E-1,1.640452296E-1
2.438406875E0,-1.098676175E-1,1.878563017E-1,1.673515439E-1
2.448350875E0,-1.015899852E-1,1.769226044E-1,1.636600196E-1
2.458295875E0,-9.787806869E-2,1.598783731E-1,1.493503153E-1
2.468239875E0,-8.712448925E-2,1.515833139E-1,1.408896148E-1
2.478183875E0,-8.585016429E-2,1.406707466E-1,1.246352792E-1
2.488127875E0,-9.691062570E-2,1.466317028E-1,1.204516068E-1
2.498071875E0,-1.023330837E-1,1.523330063E-1,1.143617555E-1
2.508015875E0,-1.178750396E-1,1.363887936E-1,1.203127801E-1
2.517959875E0,-1.262267083E-1,1.168683693E-1,1.195069104E-1
2.527903875E0,-1.419882625E-1,1.229856089E-1,1.171936914E-1
2.537848875E0,-1.449334472E-1,1.215853170E-1,1.212182567E-1
2.547792875E0,-1.400255263E-1,1.160213798E-1,1.297397912E-1
2.557736875E0,-1.387578547E-1,1.260351390E-1,1.384491324E-1
2.567680875E0,-1.327483356E-1,1.375056505E-1,1.516598165E-1
2.577624875E0,-1.222421676E-1,1.450067014E-1,1.611899436E-1
2.587568875E0,-1.128815114E-1,1.596968025E-1,1.534835845E-1
2.597512875E0,-1.087504178E-1,1.644966155E-1,1.526425630E-1
2.607456875E0,-1.005450338E-1,1.313263178E-1,1.441846639E-1
2.617401875E0,-9.651780128E-2,1.240393817E-1,1.418107301E-1
2.627345875E0,-8.578863740E-2,1.264398992E-1,1.305823475E-1
2.637289875E0,-7.522760332E-2,1.334826350E-1,1.205174625E-1
2.647234792E0,-6.271483749E-2,1.317592263E-1,1.106439382E-1
2.657178792E0,-5.542976037E-2,1.128744856E-1,9.628178179E-2
2.667122792E0,-4.256721959E-2,1.081699282E-1,9.118221700E-2
2.677066792E0,-3.177262843E-2,1.019988582E-1,9.103254974E-2
2.687011792E0,-2.769524418E-2,1.102616638E-1,8.618794382E-2
2.696955792E0,-2.558362298E-2,1.000447124E-1,7.494594157E-2
2.706899792E0,-3.465719149E-2,1.125982702E-1,7.370281965E-2
2.716843792E0,-3.969030082E-2,1.149032339E-1,6.512397528E-2
2.726787792E0,-4.347997531E-2,1.191061959E-1,6.140400469E-2
2.736731792E0,-4.595032334E-2,1.200678572E-1,5.369202048E-2
2.746675792E0,-3.957959637E-2,1.215998307E-1,5.109490827E-2
2.756619792E0,-2.930219099E-2,1.232280880E-1,5.584971979E-2
2.766564792E0,-2.572325990E-2,1.306238770E-1,5.153660476E-2
2.776508792E0,-9.877984412E-3,1.239409447E-1,4.483689368E-2
2.786452792E0,1.873173565E-2,1.103904247E-1,3.592547029E-2
2.796396792E0,3.602337465E-2,1.176478043E-1,2.322272211E-2
2.806340792E0,4.025202990E-2,1.034501418E-1,2.504562587E-2
2.816284792E0,5.030253157E-2,9.011596441E-2,2.564110979E-2
2.826228792E0,4.552260041E-2,5.087434873E-2,2.394739725E-2
2.836173792E0,3.513547033E-2,4.652567208E-2,3.161783516E-2
2.846117792E0,2.162588201E-2,3.172133118E-2,3.809247911E-2
2.856061792E0,2.988813445E-3,2.990558743E-2,4.901916534E-2
2.866005792E0,-1.177654974E-2,1.658025756E-2,6.275844574E-2
2.875949792E0,-3.931603581E-2,1.418953761E-2,8.233721554E-2
2.885893792E0,-4.891770333E-2,1.194956340E-2,8.583615720E-2
2.895837792E0,-6.305509806E-2,2.917185426E-3,9.906834364E-2
2.905782792E0,-7.941782475E-2,1.884211088E-3,1.052724719E-1
2.915726792E0,-8.529862016E-2,-1.964345202E-2,1.167011708E-1
2.925670792E0,-9.324310720E-2,-3.470758721E-2,1.197472662E-1
2.935614792E0,-9.015063941E-2,-5.158856511E-2,1.181762666E-1
2.945558792E0,-8.626498282E-2,-6.101957709E-2,1.118794680E-1
2.955502792E0,-8.405748755E-2,-6.136631966E-2,1.011490524E-1
2.965446792E0,-8.576237410E-2,-4.633888602E-2,9.520938993E-2
2.975391792E0,-8.716079593E-2,-2.919558808E-2,8.896668255E-2
2.985335792E0,-9.180384129E-2,-1.331040636E-2,8.589670062E-2
2.995279792E0,-9.385101497E-2,-1.100490708E-2,8.860380948E-2
3.005223792E0,-9.178226441E-2,-1.625403576E-2,8.890476823E-2
3.015167792E0,-8.109446615E-2,-2.155239508E-2,9.608518332E-2
3.025111792E0,-7.296775281E-2,-3.775375336E-2,9.575656056E-2
3.035056792E0,-6.701292098E-2,-4.202200100E-2,9.839735925E-2
3.045000792E0,-6.023881212E-2,-4.405837879E-2,1.029492170E-1
3.054944792E0,-5.381553248E-2,-4.498755559E-2,1.081370562E-1
3.064888792E0,-4.133792222E-2,-4.814204574E-2,1.125751138E-1
3.074832792E0,-3.303125873E-2,-3.022615984E-2,1.153296232E-1
3.084776792E0,-2.361315675E-2,-2.026809566E-2,1.108095497E-1
3.094720792E0,-1.264253072E-2,6.933794357E-4,1.128252894E-1
3.104665792E0,2.509602578E-3,1.774275303E-2,1.152262539E-1
3.114609792E0,1.280325279E-2,1.741252095E-2,1.128643006E-1
3.124553792E0,2.642762102E-2,1.360938791E-2,1.091156378E-1
3.134497792E0,3.551432863E-2,1.352949254E-2,1.079467759E-1
3.144441792E0,3.773753345E-2,1.656283438E-2,1.104986146E-1
3.154385792E0,4.390381649E-2,2.175546438E-2,1.072799191E-1
3.164330792E0,3.655520082E-2,3.592428192E-2,1.109651029E-1
3.174274792E0,3.385235742E-2,5.430142581E-2,1.149965972E-1
3.184218792E0,2.463790402E-2,5.782479793E-2,1.144970804E-1
3.194162792E0,1.658423990E-2,6.762310117E-2,1.099673063E-1
3.204106792E0,2.106969804E-2,6.729493290E-2,9.604860842E-2
3.214050792E0,1.581634581E-2,5.911503360E-2,8.651103079E-2
3.223995792E0,1.651535369E-2,6.200280786E-2,8.384424448E-2
3.233939792E0,1.250037272E-2,5.128012225E-2,8.149346709E-2
3.243883792E0,-8.877023356E-4,6.906048208E-2,8.646760881E-2
3.253827792E0,-2.982278354E-3,6.545162946E-2,7.875563204E-2
3.263771792E0,-1.281485334E-2,6.732118875E-2,8.209957927E-2
3.273715792E0,-1.129791513E-2,8.295074850E-2,7.987770438E-2
3.283659792E0,-3.198110033E-3,9.630808979E-2,6.783463061E-2
3.293604792E0,1.383626647E-2,1.106766388E-1,5.699290335E-2
