"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.926565781E0,2.345191240E-1,1.443771362E0,8.130714893E-1
1.931615729E0,4.148595333E-1,1.230885506E0,8.943216801E-1
1.936665677E0,6.061860323E-1,1.313543320E0,1.458709717E0
1.941717135E0,7.708896399E-1,2.059129715E0,4.234481335E0
1.946767083E0,8.323995471E-1,2.548980713E0,5.331497192E0
1.951817083E0,7.417858243E-1,2.908282757E0,3.448947906E0
1.956867031E0,5.031827688E-1,3.040250778E0,1.426631927E0
1.961916979E0,6.705946922E-1,2.922139168E0,4.435303211E-1
1.966966927E0,6.494411826E-1,2.190620422E0,-1.641186833E0
1.972057812E0,3.449248374E-1,5.250520706E-1,-4.899997234E0
1.977107812E0,4.077100754E-1,-1.305573463E0,-5.006331921E0
1.982157760E0,1.662255287E0,-6.638245583E0,-3.423131704E0
1.987207708E0,7.466467619E-1,-4.896922302E1,-3.842540741E0
1.992257708E0,-2.065165043E0,-6.852943420E1,-3.785573483E0
1.997307656E0,1.811504841E0,-6.946663666E1,-3.226832390E0
2.002319583E0,3.261751175E0,-6.326879120E1,-4.596328735E-2
2.007369531E0,1.478632331E0,-3.407596970E1,3.134772539E0
2.012419531E0,-5.242462158E-1,-1.158792591E1,4.259393692E0
2.017469479E0,-2.585958481E0,4.975776672E-1,4.533296108E0
2.022519427E0,-3.472497940E0,6.181038380E0,3.146884203E0
2.027569375E0,-3.698814869E0,8.155411720E0,1.363188982E0
2.032660260E0,-4.158167362E0,8.265838623E0,-1.113498211E-1
2.037710260E0,-4.985634327E0,6.692220688E0,-1.505445361E0
2.042760208E0,-5.150733948E0,3.986118317E0,-2.587460041E0
