"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.682231833E0,1.171494365E0,-8.251395822E-1,-1.845305413E-1
1.692176833E0,1.845942497E0,-2.140821218E0,3.096754253E-1
1.702120833E0,1.950370908E0,-3.612511396E0,4.909364283E-1
1.712064833E0,1.736769319E0,-3.552856207E0,1.014770791E-1
1.722008833E0,4.595051706E-1,-1.783311725E0,-3.189963996E-1
1.731953833E0,-2.788029909E-1,-7.106953859E-2,-1.254131079E0
1.741897833E0,-7.597619891E-1,1.215705395E0,-2.582945108E0
1.751841833E0,-4.664199054E-1,2.226909161E0,-4.405638695E0
1.761785833E0,4.844065309E-1,1.361718774E0,-6.379137993E0
1.771730833E0,1.264128208E0,-2.842234075E-1,-7.522774220E0
1.781674833E0,2.265134811E0,-1.213546276E0,-7.437094212E0
1.791618833E0,3.626822948E0,-1.058580160E0,-6.470845699E0
1.801562833E0,4.746108055E0,-7.587342262E-1,-4.931526661E0
1.811506833E0,3.036399841E0,-1.230212212E0,-3.171300888E0
1.821451833E0,3.332074881E-1,-8.463957310E-1,-1.815488219E0
1.831395833E0,-3.105421960E-1,6.207913756E-1,-1.741187096E0
1.841339833E0,-2.224170975E-2,4.784093201E-1,-2.242830515E0
1.851283833E0,2.479394376E-1,-3.930675387E-1,-2.347666264E0
1.861228833E0,1.366040409E-1,-7.841360569E-1,-1.761280179E0
1.871172833E0,-7.027190924E-2,-6.600614786E-1,-8.693942428E-1
1.881116833E0,-1.267962009E-1,-3.459907770E-1,7.479470223E-2
1.891060833E0,-1.931294203E-1,-1.420757324E-1,1.022363067E0
1.901005833E0,-5.940660238E-1,-2.409612536E-1,1.981185079E0
1.910949833E0,-1.454250574E0,-3.983356953E-1,2.977466583E0
1.920893833E0,-2.211648464E0,-4.307692647E-1,3.849252701E0
1.930837833E0,-2.493610382E0,-4.238424003E-1,4.349822998E0
1.940782833E0,-2.429424524E0,-4.493354857E-1,4.351532936E0
1.950726833E0,-2.274381876E0,-3.643377721E-1,3.883473396E0
1.960670833E0,-2.132237673E0,-6.484260410E-2,3.111280441E0
1.970614833E0,-1.981727481E0,2.581927180E-1,2.393253803E0
1.980559833E0,-1.749315500E0,5.032219887E-1,2.225244761E0
1.990503833E0,-1.420622826E0,7.059367299E-1,2.610188007E0
2.000447833E0,-1.138749242E0,1.549608111E0,3.424036026E0
2.010391833E0,-5.175362825E-1,3.343217850E0,4.715312004E0
2.020335833E0,-4.066631496E-1,4.900227547E0,5.632200718E0
2.030280833E0,-1.475904703E0,3.050586700E0,6.278239727E0
2.040224833E0,-1.992521405E0,-1.670200825E0,6.031677246E0
2.050168833E0,-1.097302794E0,-3.664408684E0,5.322260380E0
2.060112833E0,-4.790275693E-1,-2.835888386E0,4.820016861E0
2.070057833E0,-2.970178425E-1,-6.660214663E-1,4.381084442E0
2.080001833E0,-3.671249151E-1,1.150444627E0,3.971814632E0
2.089945833E0,-4.327542484E-1,1.991348624E0,3.377511740E0
2.099889833E0,-3.863679469E-1,1.811194181E0,2.603032827E0
2.109834833E0,-9.212300181E-2,9.795685410E-1,1.848095536E0
2.119778833E0,3.169974089E-1,5.957316160E-1,1.325176597E0
2.129722833E0,1.034018397E0,4.197499156E-1,6.601311564E-1
2.139666833E0,1.698705912E0,4.794806540E-1,-2.402477264E-1
2.149610833E0,2.068806648E0,7.414329052E-1,-1.140489101E0
2.159555833E0,2.136924267E0,8.897069097E-1,-2.091067314E0
2.169499833E0,1.969154954E0,9.070387483E-1,-2.993160725E0
2.179443833E0,1.676954627E0,9.521064162E-1,-3.690115452E0
2.189387833E0,1.099536777E0,1.078553438E0,-4.059610844E0
2.199332833E0,1.494785696E-1,8.955393434E-1,-4.246765137E0
2.209276833E0,-7.181611657E-1,2.946151495E-1,-4.322117329E0
2.219220833E0,-1.273080230E0,-1.902023107E-1,-4.275757790E0
2.229164833E0,-1.445144176E0,-4.326841831E-1,-3.985376596E0
2.239108833E0,-9.957442880E-1,-5.699623227E-1,-3.258331299E0
2.249053833E0,1.270334870E-1,-4.764174819E-1,-1.993439198E0
2.258997833E0,1.297052264E0,-3.107326329E-1,-4.894542694E-1
2.268941833E0,1.991801739E0,-6.287223846E-2,5.128918886E-1
2.278885833E0,1.913802028E0,3.640102744E-1,6.546036601E-1
2.288830833E0,1.302068591E0,7.702693343E-1,1.868215948E-1
2.298774833E0,2.449589670E-1,9.466906190E-1,-4.967099726E-1
2.308718833E0,2.966983318E-1,4.562229216E-1,-9.793373942E-1
2.318662833E0,2.980553508E-1,-1.454660892E0,-8.395220041E-1
2.328607833E0,8.558225036E-1,-2.526635408E0,-1.278412528E-2
2.338551833E0,1.379355669E0,-3.144524336E0,7.811592221E-1
2.348495833E0,1.671903133E0,-3.195044518E0,8.159220219E-1
2.358439833E0,1.780026913E0,-2.286767244E0,9.741748124E-2
2.368384833E0,1.154739022E0,-1.151880026E0,-7.367277145E-1
2.378328833E0,5.142047405E-1,-3.431451023E-1,-1.781916261E0
2.388272833E0,8.834984899E-2,6.884798408E-1,-3.232637882E0
2.398216833E0,4.509833455E-1,2.168456316E0,-4.932855129E0
2.408160833E0,1.264059186E0,1.511875391E0,-6.445117950E0
2.418105833E0,2.031730413E0,8.018461466E-1,-6.953361034E0
2.428049833E0,3.009447575E0,6.585121155E-1,-6.511156559E0
2.437993833E0,3.841065407E0,-2.308180928E-1,-5.657941818E0
2.447937833E0,3.199212790E0,-1.939844251E0,-4.203447819E0
2.457882833E0,8.097745180E-1,-2.649467230E0,-2.506384611E0
2.467826833E0,-1.790135205E-1,-9.625988603E-1,-1.584010959E0
2.477770833E0,1.383094639E-1,4.730161130E-1,-1.724469066E0
2.487714833E0,5.624458194E-1,2.723003030E-1,-2.109017134E0
2.497658833E0,6.110054255E-1,-3.558964729E-1,-2.092198133E0
2.507603833E0,3.633346558E-1,-5.610173941E-1,-1.457154274E0
2.517547833E0,2.435620874E-1,-5.123835206E-1,-4.222640693E-1
2.527491833E0,1.797141284E-1,-2.777222693E-1,7.789882421E-1
2.537435833E0,-1.644863486E-1,-2.073869258E-1,2.010881186E0
2.547380833E0,-9.851490259E-1,-2.886074781E-1,3.218556166E0
2.557324833E0,-1.886065841E0,-2.460128516E-1,4.249366283E0
2.567268833E0,-2.336101055E0,-5.266812164E-3,4.828419209E0
2.577212833E0,-2.356529236E0,2.644443214E-1,4.831824303E0
2.587157833E0,-2.224862576E0,4.780290425E-1,4.326758862E0
2.597101833E0,-2.097686052E0,6.025940776E-1,3.513196230E0
2.607045833E0,-1.999183416E0,6.174891591E-1,2.691351175E0
2.616989833E0,-1.851312876E0,6.000959277E-1,2.333612680E0
2.626934833E0,-1.644803405E0,5.852075219E-1,2.595039368E0
2.636878833E0,-1.523252964E0,1.241301060E0,3.327723742E0
2.646822833E0,-1.039847493E0,2.974200010E0,4.557931423E0
2.656766833E0,-5.813825727E-1,4.524456978E0,5.573441982E0
2.666710833E0,-1.688440204E0,2.764317036E0,6.498333454E0
2.676655833E0,-2.781435013E0,-2.276922226E0,6.717703819E0
2.686599833E0,-1.527916431E0,-4.529329777E0,6.315105915E0
2.696543833E0,-5.353289247E-1,-4.160243034E0,5.755527020E0
2.706487833E0,-2.354708612E-1,-2.312677145E0,5.238306046E0
2.716432833E0,-3.550176620E-1,-4.567180276E-1,4.803614140E0
2.726376833E0,-5.405955315E-1,7.729625106E-1,4.198538780E0
2.736320833E0,-4.930992424E-1,1.145722985E0,3.341944456E0
2.746264833E0,-4.634041339E-2,7.034041286E-1,2.457555532E0
2.756209833E0,6.296282411E-1,4.657445252E-1,1.703530073E0
2.766153833E0,1.240366817E0,6.890662909E-1,9.007170200E-1
2.776097833E0,1.586277366E0,1.205434918E0,1.671798080E-1
2.786041833E0,1.712536693E0,1.728995085E0,-6.060258746E-1
2.795985833E0,1.719016433E0,1.810184717E0,-1.508177042E0
2.805930833E0,1.558171034E0,1.344770432E0,-2.391673565E0
2.815874833E0,1.286117673E0,7.570444345E-1,-3.227773190E0
2.825818833E0,8.966884017E-1,5.708042383E-1,-3.903666258E0
2.835762833E0,2.109107226E-1,6.304860115E-1,-4.352264881E0
2.845707833E0,-5.782166719E-1,5.527305007E-1,-4.654398918E0
2.855651833E0,-1.060958385E0,6.626616418E-2,-4.815336704E0
2.865595833E0,-1.145700455E0,-6.792956591E-1,-4.763174057E0
2.875539833E0,-7.996681333E-1,-1.284075499E0,-4.330494404E0
2.885483833E0,-7.227522135E-2,-1.429620981E0,-3.403828144E0
2.895428833E0,8.378475308E-1,-1.199731350E0,-2.068342924E0
2.905372833E0,1.673811674E0,-6.582087278E-1,-6.557302475E-1
2.915316833E0,1.828146338E0,3.122955859E-1,3.698654473E-2
2.925260833E0,1.421126723E0,1.293972731E0,-1.572779566E-2
2.935205833E0,4.615050256E-1,2.002454996E0,-2.239624560E-1
2.945149833E0,4.839458764E-1,2.052020311E0,-2.484198660E-1
2.955093833E0,7.821125388E-1,3.038803637E-1,2.100814879E-1
2.965037833E0,1.250798225E0,-1.705172658E0,8.805328012E-1
2.974982833E0,1.279470444E0,-4.192988396E0,1.184497833E0
2.984926833E0,1.252631068E0,-5.452286243E0,7.890555859E-1
2.994870833E0,1.290801048E0,-4.555467129E0,-1.284660399E-1
3.004814833E0,5.819796920E-1,-3.168400526E0,-1.100128651E0
3.014758833E0,2.929787152E-2,-1.935027480E0,-2.299051046E0
3.024703833E0,-2.130338103E-1,-5.721942186E-1,-3.775736570E0
3.034647833E0,1.787997931E-1,3.710262477E-1,-5.582245827E0
3.044591833E0,6.380933523E-1,1.084808931E-1,-6.894763470E0
3.054535833E0,1.195600152E0,3.426075280E-1,-6.903892994E0
3.064480833E0,2.237729549E0,1.720413685E0,-5.858781338E0
3.074424500E0,3.444705486E0,2.700282335E0,-4.495486259E0
3.084368500E0,4.055906296E0,1.635620832E0,-3.377214909E0
3.094312500E0,1.820850849E0,-2.139450550E0,-2.488150358E0
3.104256500E0,-7.480602711E-2,-4.114514828E0,-2.079666376E0
3.114201500E0,1.025005206E-1,-2.847547531E0,-2.694444180E0
3.124145500E0,6.139709949E-1,-1.078831077E0,-3.071876764E0
3.134089500E0,7.282276154E-1,-3.503983319E-1,-2.562439680E0
3.144033500E0,4.535438120E-1,-1.032287478E0,-1.642807841E0
3.153978500E0,1.863399595E-1,-5.922003984E-1,-5.552706122E-1
3.163922500E0,-6.837994605E-2,-1.650309861E-1,6.952211857E-1
3.173866500E0,-5.104065537E-1,-1.669671983E-1,2.005864143E0
