"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.176156996E1,5.219993591E0,-3.824054718E0,-4.928578568E1
8.177151396E1,4.406524658E0,-4.419094086E0,-4.952512741E1
8.178145796E1,3.786705017E0,-4.938915253E0,-4.954301071E1
8.238663496E1,-1.546473694E1,4.520680237E1,-1.052537155E1
8.239657896E1,-1.516420746E1,4.530335236E1,-1.046706772E1
8.240652196E1,-1.496901703E1,4.544272995E1,-1.048325729E1
8.241646596E1,-1.436832428E1,4.570588303E1,-1.050171280E1
8.242640996E1,-1.390069580E1,4.592633438E1,-1.053451157E1
8.243635296E1,-1.348433685E1,4.599322510E1,-1.054161453E1
8.244629696E1,-1.331437683E1,4.608990860E1,-1.050252914E1
8.245624096E1,-1.346356201E1,4.615414810E1,-1.046073532E1
8.246618396E1,-1.416221619E1,4.598267746E1,-1.018752670E1
8.247612796E1,-1.556246185E1,4.547427750E1,-1.033836746E1
8.248607196E1,-1.750098419E1,4.465501785E1,-1.071625137E1
8.249601496E1,-1.945926666E1,4.359346771E1,-1.176599503E1
8.250595896E1,-2.079461670E1,4.259083939E1,-1.297939682E1
8.251590296E1,-2.144979095E1,4.199602509E1,-1.430772018E1
8.252584596E1,-2.153403473E1,4.173187256E1,-1.547726059E1
8.253578996E1,-2.142898560E1,4.155625534E1,-1.668364334E1
8.254573396E1,-2.097570801E1,4.135300446E1,-1.804423141E1
8.255567796E1,-2.008695221E1,4.119890976E1,-1.951795578E1
8.256562096E1,-1.907610321E1,4.106261444E1,-2.092074966E1
8.257556496E1,-1.796446991E1,4.083077621E1,-2.219401932E1
8.258550896E1,-1.663666534E1,4.081974411E1,-2.343619156E1
8.259545196E1,-1.525225067E1,4.108052063E1,-2.411855698E1
8.260539596E1,-1.398415375E1,4.123035431E1,-2.458002090E1
8.261533996E1,-1.331959534E1,4.152467728E1,-2.456843185E1
8.262528296E1,-1.330873108E1,4.170294189E1,-2.419413376E1
8.263522696E1,-1.366589355E1,4.183395767E1,-2.371649551E1
8.264517096E1,-1.412162781E1,4.190599823E1,-2.332318497E1
8.265511396E1,-1.467219543E1,4.197217560E1,-2.292872238E1
8.266505796E1,-1.516090393E1,4.202799606E1,-2.261709213E1
8.267500196E1,-1.556948090E1,4.197998047E1,-2.242609787E1
8.268494496E1,-1.601737213E1,4.187805939E1,-2.243017197E1
8.269488896E1,-1.630802917E1,4.186466980E1,-2.215678024E1
8.270483296E1,-1.652301788E1,4.167111969E1,-2.193132401E1
